ID,Name_lang,CovenantID,GarrTalentTreeID,CreatureID,GarrFollowerID,PlayerConditionID
1,Ния,3,276,164729,1265,84491
2,Творец Снов,3,275,164387,1264,84497
3,Генерал Дрейвен,2,304,165028,1209,84407
4,Изобретатель чумы Марилет,4,325,165722,1261,84500
5,Эмени,4,330,166122,1263,84501
6,Корейн,3,334,166788,1266,84498
7,Пелагий,1,357,168710,1259,84478
8,"Наджия, Клинок Туманов",2,368,164748,1208,84410
9,Безумный герцог Теотар,2,392,165031,1210,84409
10,Костоплав Гейрмир,4,349,167614,1262,84502
13,Клейя,1,360,169437,1260,84479
18,Верховный автоматург Миканикос,1,365,170128,1258,84480
