ID,Description_lang,Reward_lang,Title_lang
6,Достигните 10-го уровня.,,10-й уровень
7,Достигните 20-го уровня.,,20-й уровень
8,Достигните 30-го уровня.,,30-й уровень
9,Достигните 40-го уровня.,,40-й уровень
10,Достигните 50-го уровня до выхода дополнения Shadowlands.,,50-й уровень (наследие)
11,Достигните 60-го уровня до выхода дополнения Shadowlands.,,60-й уровень (наследие)
12,Достигните 70-го уровня до выхода дополнения Shadowlands.,,70-й уровень (наследие)
13,Достигните 80-го уровня до выхода дополнения Shadowlands.,,80-й уровень (наследие)
15,Соберите 15 различных питомцев.,,Дружеская толпа
16,Доведите свой навык рукопашного боя до 400.,,Кому зуботычину?
31,Выполняйте ежедневное задание в течение пяти дней.,,Простой рецепт
32,Выполните 2000 заданий.,,2000 заданий
33,Пройдите указанные ниже этапы развития сюжета в Борейской тундре.,,Борьба в Борейщине
34,Пройдите указанные ниже этапы развития сюжета в Ревущем фьорде.,,Покорение фьордов
35,Пройдите указанные ниже этапы развития сюжета в Драконьем Погосте.,,Кости на погосте
36,Пройдите указанные ниже этапы развития сюжета в Зул'Драке.,,Империя Зул'Драк
37,Пройдите указанные ниже этапы развития сюжета в Седых холмах.,,"Седые холмы, густые леса"
38,Пройдите указанные ниже этапы развития сюжета на Грозовой гряде.,,Верховья Грозовой гряды
39,Пройдите указанные ниже этапы развития сюжета в низине Шолазар.,,В Низину
40,Пройдите указанные ниже этапы развития сюжета в Ледяной Короне.,,Цель – Ледяная Корона
41,"Заработайте указанные ниже достижения, связанные с заданиями в Нордсколе.",,Хранитель мудрости Нордскола
42,Исследуйте все местности Восточных королевств.,,Восточные королевства
43,Исследуйте все местности Калимдора.,,Калимдор
44,Исследуйте все местности Запределья.,,Запределье
45,Исследуйте все местности Нордскола.,Награда: гербовая накидка исследователя,Нордскол
46,"Исследуйте Восточные королевства, Калимдор, Запределье, Нордскол, местности, появившиеся в результате Катаклизма, Пандарию, Дренор, Расколотые острова, Кул-Тирас и Зандалар.",Наградное звание: Исследователь,Первооткрыватель
49,Победы в Альтеракской долине,,Победы в Альтеракской долине
50,Победы на Оке Бури,,Победы на Оке Бури
51,Победы в низине Арати,,Победы в низине Арати
52,Сражения в ущелье Песни Войны,,Сражения в ущелье Песни Войны
53,Сражения в Альтеракской долине,,Сражения в Альтеракской долине
54,Сражения на Оке Бури,,Сражения на Оке Бури
55,Сражения в низине Арати,,Сражения в низине Арати
60,Всего смертей,,Всего смертей
73,В течение одного сражения в низине Арати возьмите штурмом 3 базы.,,Нападение на Низину
94,Отменено заданий,,Отменено заданий
95,Среднее количество заданий за день,,Среднее количество заданий за день
97,Выполнено ежедневных заданий,,Выполнено ежедневных заданий
98,Выполнено заданий,,Выполнено заданий
99,Бои в Руинах Лордерона,,Бои в Руинах Лордерона
100,Победы на арене Награнда,,Победы на арене Награнда
101,Бои на арене Награнда,,Бои на арене Награнда
102,Победы в Руинах Лордерона,,Победы в Руинах Лордерона
103,Бои на арене Острогорья,,Бои на арене Острогорья
104,Победы на арене Острогорья,,Победы на арене Острогорья
