ID,LegacySlotIndex,TriggerType,Charges,CoolDownMSec,CategoryCoolDownMSec,SpellCategoryID,SpellID,ChrSpecializationID
2,0,0,100,-1,-1,0,7,0
3,0,0,-1,0,1000,11,433,0
4,0,0,-1,300000,300000,30,439,0
5,0,0,-1,0,1000,59,430,0
6,0,0,0,-1,-1,0,7,0
7,0,0,-1,0,1000,11,434,0
8,0,0,-1,0,1000,11,435,0
9,0,2,0,-1,-1,0,17152,0
10,0,0,-1,0,1000,11,5005,0
13,0,0,-1,0,1000,11,435,0
14,0,0,-1,300000,300000,4,3591,0
15,0,0,0,1800000,0,0,12257,0
16,0,2,0,-1,-1,0,13519,0
17,0,0,-1,0,1000,11,433,0
18,0,2,0,-1,-1,0,17504,0
19,0,2,0,-1,-1,0,13439,0
20,0,2,0,-1,-1,0,18104,0
23,0,0,-1,0,60000,24,8312,0
24,0,0,-1,300000,300000,30,440,0
25,2,1,0,-1,-1,0,18074,0
26,0,2,0,-1,-1,0,13752,0
27,0,1,0,-1,-1,0,265000,0
28,0,1,0,-1,-1,0,182395,0
29,0,0,-1,-1,-1,0,458,0
30,0,2,0,-1,-1,0,8552,0
31,0,2,0,-1,-1,0,18077,0
32,0,0,-1,300000,300000,30,441,0
33,0,2,0,-1,-1,0,13524,0
34,0,1,0,-1,-1,0,265003,0
35,0,0,0,900000,0,0,18820,0
36,1,1,0,-1,-1,0,18799,0
37,0,0,-1,1000,-1,0,8118,0
38,0,0,-1,1000,-1,0,8096,0
39,0,0,-1,0,1000,11,433,0
40,0,0,0,-1,-1,0,133,0
41,0,0,-1,0,1000,11,5006,0
42,0,0,-1,0,1000,11,5006,0
43,0,0,-1,0,1000,11,434,0
44,0,0,-1,0,1000,11,435,0
45,0,0,-1,0,60000,24,145727,0
46,0,1,0,-1,-1,0,7617,0
47,0,0,-1,-1,3000,330,55884,0
48,1,6,0,-1,-1,0,580,0
53,0,0,-1,0,0,11,7291,0
56,0,0,-1,1000,0,0,54497,0
57,0,0,-1,0,60000,24,1940,0
58,0,0,-1,0,1000,59,431,0
59,0,0,-1,1000,-1,0,8099,0
60,0,0,-1,1000,-1,0,8112,0
61,0,0,-1,-1,-1,0,8176,0
62,0,0,-10,0,60000,24,5917,0
63,0,1,0,-1,-1,0,18097,0
64,0,0,-1,0,1000,59,432,0
65,0,0,-1,0,1000,150,746,0
66,0,0,0,30000,30000,24,133,0
67,0,0,-5,-1,1000,59,5257,0
68,0,2,0,-1,-1,0,17148,0
69,0,2,0,-1,-1,0,18208,0
70,0,0,0,3600000,0,0,18831,0
71,0,2,0,-1,-1,0,13480,0
72,0,0,-1,-1,300000,4,7396,0
73,0,0,-1,-1,1000,11,434,0
74,0,0,0,30000,0,0,4960,0
75,0,2,0,-1,-1,0,144272,0
76,0,0,-1,0,60000,24,49512,0
77,0,0,-1,0,1000,11,833,0
78,0,0,0,900000,0,0,835,0
79,0,0,-1,0,60000,24,13424,0
80,0,0,0,1800000,0,0,18826,0
81,0,0,-1,300000,300000,4,806,0
82,0,1,0,-1,-1,0,19691,0
83,0,0,-1,1000,-1,0,8116,0
84,0,0,-1,1000,-1,0,8094,0
85,0,1,0,-1,-1,0,265066,0
86,0,2,0,-1,-1,0,144268,0
87,0,0,-1,0,1000,11,1127,0
88,0,1,0,-1,-1,0,4070,0
89,0,0,-1,0,1000,59,1135,0
90,0,0,-1,0,1000,11,1127,0
91,0,0,-1,0,1000,59,1133,0
92,0,0,-1,300000,300000,30,2024,0
93,0,0,-1,1000,-1,0,8100,0
94,0,0,-1,1000,-1,0,8113,0
95,0,0,0,300000,0,0,14053,0
96,0,2,0,-1,-1,0,16401,0
97,0,2,0,-1,-1,0,13528,0
98,0,2,0,-1,-1,0,18086,0
99,0,0,0,300000,0,0,8736,0
100,0,0,-1,0,120000,1153,8070,0
101,0,0,0,1800000,0,0,16739,0
102,0,1,0,-1,-1,0,19409,0
103,0,2,0,-1,-1,0,144250,0
105,0,1,0,-1,-1,0,265025,0
106,0,0,-1,0,1000,11,433,0
107,0,0,-1,0,60000,24,1090,0
108,0,1,0,-1,-1,0,29625,0
109,0,0,-1,0,1000,59,432,0
110,0,2,0,-1,-1,0,144246,0
111,0,2,0,-1,-1,0,18107,0
112,0,2,0,-1,-1,0,18217,0
113,0,1,0,-1,-1,0,193841,0
114,0,2,0,-1,-1,0,144268,0
115,0,1,0,-1,-1,0,265027,0
