ID,MapName_lang
0,Royaumes de l’Est
1,Kalimdor
13,Art Team Map
25,Test de Scott
30,Vallée d’Alterac
33,Donjon d’Ombrecroc
34,Prison de Hurlevent
35,<inutilisé>Prison de Hurlevent
36,Mortemines
37,Cratère d’Azshara
42,Test de Collin
43,Cavernes des Lamentations
44,<inutilisé> Monastère
47,Kraal de Tranchebauge
48,Profondeurs de Brassenoire
70,Uldaman
90,Gnomeregan
109,Temple englouti
129,Souilles de Tranchebauge
169,Rêve d'émeraude
189,Monastère Écarlate d’antan
209,Zul’Farrak
229,Bas du pic Rochenoire
230,Profondeurs de Rochenoire
249,Repaire d’Onyxia
269,Ouverture de la Porte des ténèbres
289,Scholomance
309,L’antique Zul'Gurub
329,Stratholme
349,Maraudon
369,Tram des profondeurs
389,Gouffre de Ragefeu
409,Cœur du Magma
429,Hache-Tripes
449,Baraquements Alliance JcJ
450,Baraquements Horde JcJ
451,Terrain en développement
469,Repaire de l’Aile noire
489,Goulet des Chanteguerres classique
509,Ruines d’Ahn’Qiraj
529,Bassin Arathi classique
530,Outreterre
531,Temple d’Ahn’Qiraj
532,Karazhan
533,Naxxramas
534,La bataille du mont Hyjal
540,Citadelle des Flammes infernales : les Salles brisées
542,Citadelle des Flammes infernales : la Fournaise du sang
543,Citadelle des Flammes infernales : les Remparts
544,Le repaire de Magtheridon
545,Glissecroc : le Caveau de la vapeur
546,Glissecroc : la Basse-tourbière
547,Glissecroc : les Enclos aux esclaves
548,Glissecroc : caverne du sanctuaire du Serpent
550,Donjon de la Tempête
552,Donjon de la Tempête : l'Arcatraz
553,Donjon de la Tempête : la Botanica
554,Donjon de la Tempête : le Méchanar
555,Auchindoun : Labyrinthe des Ombres
556,Auchindoun : Salles des Sethekk
557,Auchindoun : Tombes-mana
558,Auchindoun : Cryptes Auchenaï
559,Nagrand Arena (old)
560,L'évasion de Fort-de-Durn
562,zzOldBlade's Edge Arena
564,Temple noir
565,Repaire de Gruul
566,L’Œil du cyclone
568,Zul’Aman
571,Norfendre
572,Ruines de Lordaeron
573,Test d'extérieur
574,Donjon d’Utgarde
575,Cime d’Utgarde
576,Le Nexus
578,L’Oculus
580,Le Puits de soleil
582,Transport : de Rut'theran à Auberdine
584,Transport : de Menethil à Theramore
585,Terrasse des Magistères
586,Transport : de l'Exodar à Auberdine
587,Transport : bac de Pennelune
588,Transport : de Menethil à Auberdine
589,Transport : d'Orgrimmar à Grom'Gol
590,Transport : de Grom'Gol à Fossoyeuse
591,Transport : de Fossoyeuse à Orgrimmar
592,Transport : test de la toundra Boréenne
593,Transport : Baie-du-Butin à Cabestan
594,Transport : Fjord hurlant Sœur Miséricorde (quête)
595,L’Épuration de Stratholme
596,Transport : Naglfar
