ID,Description_lang,Reward_lang,Title_lang
6,Atteindre le niveau 10.,,Niveau 10
7,Atteindre le niveau 20.,,Niveau 20
8,Atteindre le niveau 30.,,Niveau 30
9,Atteindre le niveau 40.,,Niveau 40
10,Niveau 50 atteint avant d’entamer l’extension Shadowlands.,,Niveau 50 (héritage)
11,Niveau 60 atteint avant d’entamer l’extension Shadowlands.,,Niveau 60 (héritage)
12,Niveau 70 atteint avant d’entamer l’extension Shadowlands.,,Niveau 70 (héritage)
13,Niveau 80 atteint avant d’entamer l’extension Shadowlands.,,Niveau 80 (héritage)
15,Collectionner 15 mascottes différentes.,,De nombreux familiers
16,Obtenir un score de 400 avec la compétence Mains nues.,,Qui a commandé une salade de phalanges ?
31,Achever une quête journalière tous les jours pendant cinq jours consécutifs.,,Une simple re-quête
32,Achever 2 000 quêtes.,,2 000 quêtes achevées
33,Achever les suites de quêtes de la toundra Boréenne listées ci-dessous.,,Ma tendre toundra
34,Achever les suites de quêtes du fjord Hurlant listées ci-dessous.,,Tour du fjord
35,Achever les suites de quêtes de la Désolation des dragons listées ci-dessous.,,La puissance de la Désolation des dragons
36,Achever les suites de quêtes de Zul’Drak listées ci-dessous.,,L'empire de Zul'Drak
37,Achever les suites de quêtes des Grisonnes listées ci-dessous.,,"Les Grisonnes, ça vous grise !"
38,Achever les suites de quêtes des pics Foudroyés listées ci-dessous.,,Le sommet des pics Foudroyés
39,Achever les suites de quêtes du bassin de Sholazar listées ci-dessous.,,Dans le bassin
40,Achever les suites de quêtes de la Couronne de glace listées ci-dessous.,,La Couronne de glace : l'objectif final
41,Accomplir les hauts faits relatifs aux quêtes du Norfendre listés ci-dessous.,,Maître des traditions du Norfendre
42,Explorer les régions des royaumes de l'Est.,,Exploration des royaumes de l’Est
43,Explorer les régions de Kalimdor.,,Exploration de Kalimdor
44,Explorer les régions de l'Outreterre.,,Exploration de l’Outreterre
45,Explorer les régions du Norfendre.,Récompense : tabard de l'explorateur,Exploration du Norfendre
46,"Explorer les royaumes de l’Est, Kalimdor, l’Outreterre, le Norfendre, les zones dévoilées par le Cataclysme, la Pandarie, Draenor, les îles Brisées, Kul Tiras et Zandalar.",Titre : explorateur,Exploration de l’univers
49,Victoires dans la vallée d’Alterac,,Victoires dans la vallée d’Alterac
50,Victoires dans l’Œil du cyclone,,Victoires dans l’Œil du cyclone
51,Victoires dans le bassin Arathi,,Victoires dans le bassin Arathi
52,Batailles pour le goulet des Chanteguerres,,Batailles pour le goulet des Chanteguerres
53,Batailles pour la vallée d’Alterac,,Batailles pour la vallée d’Alterac
54,Batailles pour l’Œil du cyclone,,Batailles pour l’Œil du cyclone
55,Batailles pour le bassin Arathi,,Batailles pour le bassin Arathi
60,Nombre total de morts,,Nombre total de morts
73,Attaquer 3 bases dans une même bataille pour le bassin Arathi.,,Déshonorer le bassin
94,Quêtes abandonnées,,Quêtes abandonnées
95,Nombre moyen de quêtes achevées par jour,,Nombre moyen de quêtes achevées par jour
97,Quêtes journalières achevées,,Quêtes journalières achevées
98,Quêtes achevées,,Quêtes achevées
99,Matchs dans les ruines de Lordaeron,,Matchs dans les ruines de Lordaeron
100,Victoires dans l’arène de Nagrand,,Victoires dans l’arène de Nagrand
101,Matchs dans l’arène de Nagrand,,Matchs dans l’arène de Nagrand
102,Victoires dans les ruines de Lordaeron,,Victoires dans les ruines de Lordaeron
103,Matchs dans l’arène des Tranchantes,,Matchs dans l’arène des Tranchantes
104,Victoires dans l’arène des Tranchantes,,Victoires dans l’arène des Tranchantes
105,Victoires dans le goulet des Chanteguerres,,Victoires dans le goulet des Chanteguerres
107,Créatures tuées,,Créatures tuées
108,Bestioles tuées,,Bestioles tuées
110,Boss de donjon à 5 de Lich King le plus tué,,Boss de donjon à 5 de Lich King le plus tué
112,Morts par noyade,,Morts par noyade
113,Morts de fatigue,,Morts de fatigue
114,Morts par chute,,Morts par chute
115,Morts par le feu et la lave,,Morts par le feu et la lave
116,Obtenir 150 points de compétence dans la catégorie « Classique » d’un métier.,,Compagnon de métier
121,Obtenir 150 points de compétence dans la catégorie « Classique » en cuisine.,,Compagnon cuisinier
122,Obtenir 225 points de compétence dans la catégorie « Classique » en cuisine.,,Expert cuisinier
123,Obtenir 300 points de compétence dans la catégorie « Classique » en cuisine.,,Chef classique
124,Obtenir 75 points de compétence dans la catégorie « Outreterre » en cuisine.,,Chef de l’Outreterre
125,Obtenir 75 points de compétence dans la catégorie « Norfendre » en cuisine.,,Chef du Norfendre
126,Obtenir 150 points de compétence dans la catégorie « Classique » en pêche.,,Compagnon pêcheur
127,Obtenir 225 points de compétence dans la catégorie « Classique » en pêche.,,Expert pêcheur
128,Obtenir 300 points de compétence dans la catégorie « Classique » en pêche.,,Artisan pêcheur
129,Obtenir 75 points de compétence dans la catégorie « Outreterre » en pêche.,,Pêcheur de l’Outreterre
130,Obtenir 75 points de compétence dans la catégorie « Norfendre » en pêche.,,Pêcheur du Norfendre
131,Obtenir 150 points de compétence en secourisme.,,Compagnon secouriste
132,Obtenir 225 points de compétence en secourisme.,,Expert secouriste
133,Obtenir 300 points de compétence en secourisme.,,Artisan secouriste
134,Obtenir 375 points de compétence en secourisme.,,Maître secouriste
135,Obtenir 450 points de compétence en secourisme.,,Grand maître secouriste
137,Créer 500 bandages épais en tisse-givre.,,Réserves
141,Utiliser un bandage épais en tisse-givre ou n'importe quel bandage en braise-soie ou en éolaine pour soigner un personnage-joueur à qui il reste moins de 5% de vie.,,Triage ultime
144,Pêcher le Rôdeur d'En bas dans la caverne du sanctuaire du Serpent.,,Le Rôdeur d'En haut
150,Pêcher quelque chose dans Orgrimmar et Hurlevent.,,Le pêcheur diplomate
153,Pêcher un poisson dans un banc de poissons.,,Le vieux Gnome et la mer
154,Remporter la victoire au bassin Arathi.,,Victoire dans le bassin Arathi
155,Obtenir 100 victoires au bassin Arathi.,,Vétéran du bassin Arathi
156,Gagner 10 batailles dans le bassin Arathi en contrôlant les 5 drapeaux.,,Domination territoriale
157,Venir 50 fois à la rescousse d'une base du bassin Arathi en récupérant le drapeau.,,À la rescousse !
158,Capturer 50 drapeaux au bassin Arathi.,,Cap ou pas cap ?
159,Gagner dans le bassin Arathi en 6 minutes.,,Une formalité à régler
161,Rattraper un retard de 500 ressources dans une bataille pour le bassin Arathi et obtenir la victoire.,,Victoire arrachée
162,Gagner dans le bassin Arathi avec une différence de 50 points ou moins.,,C'était gagné d'avance *hum hum*
165,Gagner dans le bassin Arathi par 1600 à 0.,,Bassin Arathi parfait
166,Remporter la victoire au goulet des Chanteguerres.,,Victoire dans le goulet des Chanteguerres
167,Obtenir 100 victoires dans le goulet des Chanteguerres.,,Vétéran du goulet des Chanteguerres
168,Gagner une bataille pour le goulet des Chanteguerres par 3 à 0.,,Goulet des Chanteguerres parfait
178,Formules d'enchantement apprises,,Formules d'enchantement apprises
181,Objets désenchantés,,Objets désenchantés
183,Matériaux obtenus par désenchantement,,Matériaux obtenus par désenchantement
199,Porter et capturer soi-même le drapeau dans le goulet des Chanteguerres.,,Capture du drapeau
200,Rapporter 50 drapeaux en défense dans le goulet des Chanteguerres.,,Défenseur obstiné
201,Gagner une bataille pour le goulet des Chanteguerres en moins de 7 minutes.,,Goulet expédié
202,Prendre le drapeau et le capturer en moins de 75 secondes.,,À toute vitesse
203,"Dans un même goulet des Chanteguerres, tuer 2 porteurs de drapeau avant qu'ils ne quittent la salle du drapeau des Ailes-argent.",,Pas de ça chez moi
204,"Dans une même bataille pour le goulet des Chanteguerres, porter et capturer 3 fois le drapeau sans mourir.",,L'homme de fer
206,Tuer 100 porteurs de drapeau dans le goulet des Chanteguerres.,,Défenseur suprême
207,"Tuer l'ennemi qui porte le drapeau dans la pièce du drapeau du camp ennemi, alors que le drapeau ennemi est dans leur base et sous leur contrôle.",,Sauveur du jour
208,Remporter la victoire à l’Œil du cyclone.,,Victoire dans l’Œil du cyclone
209,Obtenir 100 victoires dans l’Œil du cyclone.,,Vétéran de l’Œil du cyclone
211,"Pendant que votre équipe possède 4 bases dans l’Œil du cyclone, prenez vous-même le drapeau et capturez-le.",,Fierté du cyclone
212,Porter et capturer soi-même le drapeau dans l’Œil du cyclone.,,Au centre du cyclone
213,Tuer 5 porteurs de drapeau dans une même bataille pour l’Œil du cyclone.,,Le cyclone détruit tout sur son passage
214,Gagner une bataille pour l’Œil du cyclone en moins de 6 minutes.,,Rafale
216,"Dans une même bataille pour l’Œil du cyclone, capturer le drapeau 3 fois sans mourir.",,En route pour la gloire
218,Remporter la victoire dans la vallée d’Alterac.,,Victoire dans la vallée d’Alterac
219,Obtenir 100 victoires dans la vallée d’Alterac.,,Vétéran de la vallée d’Alterac
220,Gagner la bataille pour la vallée d’Alterac sans perdre une tour ou un capitaine. Vous devez également contrôler toutes les tours de la Horde.,,La perfection selon les Foudrepiques
221,Prendre 50 cimetières dans la vallée d’Alterac.,,Pilleur de tombes d’Alterac
222,Défendre 50 tours dans la vallée d’Alterac.,,Défense des tours
223,"Dans la vallée d’Alterac, tuer un ennemi dans le Champ sanglant avant qu’il ne soit descendu de monture.",,La proie la plus faible
224,"Dans la vallée d’Alterac, tuer 50 ennemis dans le hall des Loups-de-givre.",,Défenseur loyal
225,Gagner dans la vallée d’Alterac tandis que votre équipe contrôle les deux mines.,,Chaque détail compte
226,Gagner dans la vallée d’Alterac en 6 minutes.,,L’Alterac express
227,Infliger 300 000 points de dégâts ou prodiguer 300 000 points de soins au cours d’un même champ de bataille. Les dégâts ou les soins doivent cibler des personnages-joueurs.,,Contrôle des dégâts
229,Obtenir 30 victoires honorables au cours d'un même champ de bataille.,,Le Faucheur
230,Accomplir les hauts faits de champ de bataille listés ci-dessous.,Titre : maître de guerre,Maître de guerre
231,Asséner 20 coups fatals sans mourir au cours de la même bataille sur n'importe quel champ de bataille.,,Boulet de démolition
233,Asséner un coup fatal sous berserker dans l’Œil du cyclone.,,Berserker assoiffé de sang
238,Obtenir une victoire honorable.,,Une victoire honorable
239,Obtenir 25 000 victoires honorables.,,25 000 victoires honorables
245,Asséner un coup fatal apportant une victoire honorable sur un membre de chaque classe.,,"Ça, c'est la classe"
246,Asséner un coup fatal apportant une victoire honorable sur toutes les races de la Horde.,,Connais ton ennemi...
247,Faire l'emote /serrer sur un ennemi mort avant qu'il ne libère l'esprit.,,"Faites l'amour, pas la guerre"
248,Découvrir la chemise blanche de smoking et le pantalon de smoking noir en ouvrant des œufs vivement colorés pendant la fête du Jardin des nobles.,,Habits du dimanche
249,Découvrir une robe de soirée en ouvrant des œufs vivement colorés pendant la fête du Jardin des nobles.,,Tenue de soirée
252,Obtenir 50 victoires honorables en étant déguisé en petit assistant grâce au Fabulovolt PX-238 Hiver.,,Petits assistants entre amis
255,Tuer le Cavalier sans tête.,,"Ramenez-moi la tête de… Oh, mince…"
259,Lancer une boule de neige sur Baine Sabot-de-Sang pendant la fête du Voile d'hiver.,,Blague de Noël
260,Fabriquer 12 bracelets de breloques ravissantes.,,Le charme opère
263,Tuer Ahune dans les enclos aux esclaves.,,Tel est glacé qui croyait geler
271,Danser au mât enrubanné pendant 60 secondes après avoir revêtu l'ensemble du solstice complet.,,La danse du feu
272,Jongler avec 40 torches en 15 secondes à Dalaran.,,Jongleur
273,Sauver Metzen le renne.,,Allez Metzen !
275,"Obtenir l’Œuf d’Egbert, Willy l’Endormi et le Collier de dressage d’elekk.",,Nounou chevronnée
277,"Pendant la fête du Voile d'hiver, porter 3 pièces des atours d'hiver et manger un gâteau aux fruits secs de Graccu.",,Vive le vent d'hiver
279,Achever la quête de récupération des friandises volées des Gourmandises Fumebois et recevoir un grand merci des Gourmandises Fumebois.,,A-BO-MI-NA-BLE !
281,Compétence en secourisme,,Compétence en secourisme
283,Être transformé sous tous les costumes listés ci-dessous.,,La grande mascarade
284,Collectionner les 24 différents masques listés ci-dessous.,,Un masque en toutes occasions
288,Manger tellement de bonbons farceurs que vous en attrapez mal au ventre.,,"Vas-y, parle !"
289,Achever l'une des quêtes demandant de sauver un village du Cavalier sans tête.,,Le sauveur de la Sanssaint
291,Utiliser des citrouilles de la Sanssaint lestées pour mettre des têtes de citrouilles sur chacune des races listées ci-dessous.,,Attention à la tête
292,Obtenir un sprotchelin sinistre et le casque de la Sanssaint en butin ou dans les bonbons farceurs lors des évènements de la Sanssaint.,,L'appel sinistre
293,"Rassembler 3 pièces de la tenue de la fête des Brasseurs, se soûler et danser à Dalaran.",,Trouble-fête
295,Tuer Coren Navrebière.,,Faites la fête au brasseur
303,Obtenir une monture de la fête des Brasseurs ou transformer la vôtre à l'aide de houblon de la fête des Brasseurs.,,Qui veut s'abreuver loin aménage sa monture
306,Gagner le concours de pêche de Baie-du-Butin.,,Maître pêcheur d'Azeroth
318,,,Nombre total de morts causées par la faction adverse
319,Duels gagnés,,Duels gagnés
320,Duels perdus,,Duels perdus
326,Argent obtenu en récompense de quêtes,,Argent obtenu en récompense de quêtes
328,Quantité totale d'argent obtenu,,Quantité totale d'argent obtenu
329,Mises en vente à l'hôtel des ventes,,Mises en vente à l'hôtel des ventes
330,Nombre d'achats à l'hôtel des ventes,,Nombre d'achats à l'hôtel des ventes
331,Enchère la plus importante à l'hôtel des ventes,,Enchère la plus importante à l'hôtel des ventes
332,Plus grosse vente à l'hôtel des ventes,,Plus grosse vente à l'hôtel des ventes
333,Argent ramassé,,Argent ramassé
334,Plus grande quantité d'argent possédée,,Plus grande quantité d'argent possédée
338,Mascottes possédées,,Mascottes possédées
