ID,Name_lang,Name_female_lang
1,Humain,Humaine
2,Orc,Orque
3,Nain,Naine
4,Elfe de la nuit,Elfe de la nuit
5,Mort-vivant,Morte-vivante
6,Tauren,Taurène
7,Gnome,Gnome
8,Troll,Trollesse
9,Gobelin,Gobeline
10,Elfe de sang,Elfe de sang
11,Draeneï,Draeneï
12,Gangr'orc,Gangr'orque
13,Naga,Naga
14,Roué,Rouée
15,Squelette,Squelette
16,Vrykul,Vrykule
17,Rohart,Rohart
18,Troll des forêts,Trollesse des forêts
19,Taunka,Taunka
20,Squelette du Norfendre,Squelette du Norfendre
21,Troll des glaces,Trollesse des glaces
22,Worgen,Worgen
23,Gilnéen,Gilnéenne
24,Pandaren,Pandarène
25,Pandaren,Pandarène
26,Pandaren,Pandarène
27,Sacrenuit,Sacrenuit
28,Tauren de Haut-Roc,Taurène de Haut-Roc
29,Elfe du Vide,Elfe du Vide
30,Draeneï sancteforge,Draeneï sancteforge
31,Troll zandalari,Trolle zandalari
32,Kultirassien,Kultirassienne
33,Humain,Humaine
34,Nain sombrefer,Naine sombrefer
35,Vulpérin,Vulpérine
36,Orc mag’har,Orque mag’har
37,Mécagnome,Mécagnome
