ID,Name_lang,CovenantID,GarrTalentTreeID,CreatureID,GarrFollowerID,PlayerConditionID
1,Niya,3,276,164729,1265,84491
2,Tisse-Rêves,3,275,164387,1264,84497
3,Général Draven,2,304,165028,1209,84407
4,"Marileth, catalyseur de peste",4,325,165722,1261,84500
5,Éméni,4,330,166122,1263,84501
6,Korayn,3,334,166788,1266,84498
7,Pélagos,1,357,168710,1259,84478
8,Nadjia la Lame fantôme,2,368,164748,1208,84410
9,Théotar le duc fou,2,392,165031,1210,84409
10,Forge-os Heirmir,4,349,167614,1262,84502
13,Kléia,1,360,169437,1260,84479
18,Premier forgelite Mikanikos,1,365,170128,1258,84480
