ID,Description_lang,Reward_lang,Title_lang
6,Erreicht Stufe 10.,,Stufe 10
7,Erreicht Stufe 20.,,Stufe 20
8,Erreicht Stufe 30.,,Stufe 30
9,Erreicht Stufe 40.,,Stufe 40
10,Stufe 50 vor der Erweiterung Shadowlands erreicht.,,Stufe 50 (Klassisch)
11,Stufe 60 vor der Erweiterung Shadowlands erreicht.,,Stufe 60 (Klassisch)
12,Stufe 70 vor der Erweiterung Shadowlands erreicht.,,Stufe 70 (Klassisch)
13,Stufe 80 vor der Erweiterung Shadowlands erreicht.,,Stufe 80 (Klassisch)
15,Sammelt 15 einzigartige Haustiere.,,Jede Menge Haustiere
16,Erreicht eine unbewaffnete Fertigkeit von 400.,,Hat jemand ein Veilchen bestellt?
31,Schließt an fünf aufeinander folgenden Tagen eine tägliche Quest ab.,,Alltägliches
32,Schließt 2.000 Quests ab.,,2.000 Quests abgeschlossen
33,Schließt die folgenden Geschichtsstränge in der Boreanischen Tundra ab.,,Rauf und runter in der Tundra
34,Schließt die folgenden Geschichtsstränge im Heulenden Fjord ab.,,Ich hab' den Fjord umrundet
35,Schließt die folgenden Geschichtsstränge in der Drachenöde ab.,,Nichts ist öde in der Öde
36,Schließt die folgenden Geschichtsstränge in Zul'Drak ab.,,Das Imperium von Zul'Drak
37,Schließt die folgenden Geschichtsstränge in den Grizzlyhügeln ab.,,Nich' zu zügeln in den Hügeln
38,Schließt die folgenden Geschichtsstränge in den Sturmgipfeln ab.,,Der Gipfel der Sturmgipfel
39,Schließt die folgenden Geschichtsstränge im Sholazarbecken ab.,,Ab ins Becken
40,Schließt die folgenden Geschichtsstränge in Eiskrone ab.,,Eiskrone: Das letzte Ziel
41,Schließt die unten aufgelisteten Questerfolge in Nordend ab.,,Meister der Lehren von Nordend
42,Erkundet die Regionen der Östlichen Königreiche.,,Erforscher der Östlichen Königreiche
43,Erkundet die Regionen Kalimdors.,,Erforscher Kalimdors
44,Erkundet die Regionen der Scherbenwelt.,,Erforscher der Scherbenwelt
45,Erkundet die Regionen von Nordend.,Belohnung: Wappenrock des Entdeckers,Erforscher Nordends
46,"Erkundet die Östlichen Königreiche, Kalimdor, die Scherbenwelt, Nordend, die vom Kataklysmus freigelegten Regionen, Pandaria, Draenor, die Verheerten Inseln, Kul Tiras und Zandalar.",Bonustitel: Der/Die Entdecker(in),Weltenbummler
49,Siege im Alteractal,,Siege im Alteractal
50,Siege im Auge des Sturms,,Siege im Auge des Sturms
51,Siege im Arathibecken,,Siege im Arathibecken
52,Schlachten in der Kriegshymnenschlucht,,Schlachten in der Kriegshymnenschlucht
53,Schlachten im Alteractal,,Schlachten im Alteractal
54,Schlachten im Auge des Sturms,,Schlachten im Auge des Sturms
55,Schlachten im Arathibecken,,Schlachten im Arathibecken
60,Tode insgesamt,,Tode insgesamt
73,Greift 3 Basen in einer einzigen Arathibeckenschlacht an.,,Der Recke des Beckens
94,Quests abgebrochen,,Quests abgebrochen
95,Durchschnittlich abgeschlossene Quests pro Tag,,Durchschnittlich abgeschlossene Quests pro Tag
97,Tägliche Quests abgeschlossen,,Tägliche Quests abgeschlossen
98,Quests abgeschlossen,,Quests abgeschlossen
99,Kämpfe in den Ruinen von Lordaeron,,Kämpfe in den Ruinen von Lordaeron
100,Siege in der Arena von Nagrand,,Siege in der Arena von Nagrand
101,Kämpfe in der Arena von Nagrand,,Kämpfe in der Arena von Nagrand
