ID,Name_lang,FemaleName_lang
62,Arkan,Arkan
63,Feuer,Feuer
64,Frost,Frost
65,Heilig,Heilig
66,Schutz,Schutz
70,Vergeltung,Vergeltung
71,Waffen,Waffen
72,Furor,Furor
73,Schutz,Schutz
74,Wildheit,Wildheit
79,Gerissenheit,Gerissenheit
81,Hartnäckigkeit,Hartnäckigkeit
102,Gleichgewicht,Gleichgewicht
103,Wildheit,Wildheit
104,Wächter,Wächter
105,Wiederherstellung,Wiederherstellung
250,Blut,Blut
251,Frost,Frost
252,Unheilig,Unheilig
253,Tierherrschaft,Tierherrschaft
254,Treffsicherheit,Treffsicherheit
255,Überleben,Überleben
256,Disziplin,Disziplin
257,Heilig,Heilig
258,Schatten,Schatten
259,Meucheln,Meucheln
260,Gesetzlosigkeit,Gesetzlosigkeit
261,Täuschung,Täuschung
262,Elementar,Elementar
263,Verstärkung,Verstärkung
264,Wiederherstellung,Wiederherstellung
265,Gebrechen,Gebrechen
266,Dämonologie,Dämonologie
267,Zerstörung,Zerstörung
268,Braumeister,Braumeister
269,Windläufer,Windläufer
270,Nebelwirker,Nebelwirker
535,Wildheit,Wildheit
536,Gerissenheit,Gerissenheit
537,Hartnäckigkeit,Hartnäckigkeit
577,Verwüstung,Verwüstung
581,Rachsucht,Rachsucht
1444,Standard,Standard
1446,Standard,Standard
1447,Standard,Standard
1448,Standard,Standard
1449,Standard,Standard
1450,Standard,Standard
1451,Standard,Standard
1452,Standard,Standard
1453,Standard,Standard
1454,Standard,Standard
1455,Standard,Standard
1456,Standard,Standard
