ID,DisplayName_lang,HordeDisplayName_lang
43,Schwerter,
44,Äxte,
45,Bögen,
46,Schusswaffen,
54,Streitkolben,
55,Zweihandschwerter,
95,Verteidigung,
98,Sprache: Gemeinsprache,
101,Volksfähigkeit - Zwerge,
109,Sprache: Orcisch,
111,Sprache: Zwergisch,
113,Sprache: Darnassisch,
115,Sprache: Taurahe,
118,Beidhändigkeit,
124,Volksfähigkeit - Tauren,
125,Volksfähigkeit - Orcs,
126,Volksfähigkeit - Nachtelfen,
136,Stäbe,
137,Sprache: Thalassisch,
138,Sprache: Drakonisch,
139,Sprache: Dämonisch,
140,Sprache: Titanensprache,
141,Sprache: Alte Sprache,
142,Überlebenskunst,
148,Pferdreiten,
149,Wolfsreiten,
150,Tigerreiten,
152,Widderreiten,
155,Schwimmen,
160,Zweihandstreitkolben,
162,Unbewaffnet,
164,Schmiedekunst,
165,Lederverarbeitung,
171,Alchemie,
172,Zweihandäxte,
173,Dolche,
182,Kräuterkunde,
183,ALLGEMEIN (DND),
185,Kochkunst,
186,Bergbau,
188,Begleiter - Wichtel,
189,Begleiter - Teufelsjäger,
197,Schneiderei,
202,Ingenieurskunst,
203,Tier - Spinne,
204,Begleiter - Leerwandler,
205,Begleiter - Sukkubus,
206,Begleiter - Höllenbestie,
207,Begleiter - Verdammniswache,
208,Tier - Wolf,
209,Tier - Katze,
210,Tier - Bär,
211,Tier - Eber,
212,Tier - Krokilisk,
213,Tier - Aasvogel,
214,Tier - Krebs,
215,Tier - Primat,
217,Tier - Raptor,
218,Tier - Weitschreiter,
220,Volksfähigkeit - Untote,
226,Armbrüste,
228,Zauberstäbe,
229,Stangenwaffen,
236,Tier - Skorpid,
251,Tier - Schildkröte,
270,Tier - Jäger allgemein,
293,Platte,
313,Sprache: Gnomisch,
315,Sprache: Troll,
333,Verzauberkunst,
356,Angeln,
393,Kürschnerei,
413,Kette,
414,Leder,
415,Stoff,
433,Schild,
473,Faustwaffen,
533,Raptorreiten,
553,Roboschreiterlenken,
554,Skelettrossreiten,
653,Tier - Fledermaus,
654,Tier - Hyäne,
655,Tier - Raubvogel,
656,Tier - Windnatter,
673,Sprache: Gossensprache,
713,Kodoreiten,
733,Volksfähigkeit - Trolle,
753,Volksfähigkeit - Gnome,
754,Volksfähigkeit - Menschen,
755,Juwelierskunst,
756,Volksfähigkeit - Blutelfen,
758,"Tier  - Ereignis, Ferngesteuert",
759,Sprache: Draenei,
760,Volksfähigkeit - Draenei,
761,Begleiter - Teufelswache,
762,Reiten,
763,Tier - Drachenfalke,
764,Tier - Netherrochen,
765,Tier - Sporensegler,
766,Tier - Sphärenjäger,
767,Tier - Felshetzer,
768,Tier - Schlange,
769,Intern,
773,Inschriftenkunde,
775,Tier - Motte,
777,Reittiere,
778,Begleiter,
780,Tier - Exotische Schimäre,
781,Begleiter - Exotischer Teufelssaurier,
782,Begleiter - Ghul,
783,Begleiter - Exotischer Aqir,
784,Tier - Exotischer Wurm,
785,Begleiter - Wespe,
786,Begleiter - Exotischer Grollhuf,
787,Tier - Exotischer Kernhund,
788,Tier - Exotische Geisterbestie,
789,Volksfähigkeit - Worgen,
790,Volksfähigkeit - Goblins,
791,Sprache: Gilnearisch,
792,Sprache: Goblin,
794,Archäologie,
795,Jäger,
796,Todesritter,
798,Druide,
800,Paladin,
804,Priester,
805,Begleiter - Wasserelementar,
808,Tier - Fuchs,
810,Alle - Glyphen,
811,Begleiter - Jagdhund,
815,Begleiter - Affe,
817,Begleiter - Exotische Schieferbestie,
818,Käfer,
821,Alle - Gildenboni,
824,Begleiter - Hydra,
829,Mönch,
840,Krieger,
849,Hexenmeister,
899,Volksfähigkeit - Pandaren,
904,Magier,
905,Sprache: Pandaren (Neutral),
921,Schurke,
924,Schamane,
927,Teufelswichtel,
928,Leerenfürst,
929,Shivarra,
930,Beobachter,
931,Zornwächter,
934,Alle - Spezialisierungen,
960,Runenschmieden,
962,Begleiter - Urfeuerelementar,
963,Begleiter - Urerdelementar,
975,Weg des Grills,
976,Weg des Woks,
977,Weg des Topfes,
978,Weg des Dämpfens,
979,Weg des Ofens,
980,Weg des Gebräus,
981,Kochlehrling,
982,Gesellenkochbuch,
983,Begleiter - Nager,
984,Begleiter - Kranich,
985,Begleiter - Wasserschreiter,
986,Begleiter - Exotischer Steinhund,
987,Begleiter - Schroffhorn,
988,Begleiter - Basilisk,
999,KEINE SPIELER,
1305,Begleiter - Terrorhorn,
1748,Begleiter - Ursturmelementar,
1777,Pet - Water Elemental Minor Talent Version,
1819,Begleiter - Flussbestien,
1830,Unused,
1848,Dämonenjäger,
1945,Holzfällen,
1981,Begleiter - Terrorwache,
1982,Begleiter - Abyssal,
1993,Begleiter - Hirsch,
2000,Handelsposten,
2152,Kriegsgleven,
2189,Begleiter - Mechanisch,
2216,Begleiter - Monstrosität,
2279,Begleiter - Ochse,
2280,Begleiter - Schuppenbalg,
2361,Begleiter - Federmähne,
2419,Volksfähigkeit - Nachtgeborene,
2420,Volksfähigkeit - Hochbergtauren,
2421,Volksfähigkeit - Lichtgeschmiedete Draenei,
2423,Volksfähigkeit - Leerenelfen,
2437,Schmiedekunst von Kul Tiras,Schmiedekunst von Zandalar
2454,Schmiedekunst der Verheerten Inseln,
2464,Sprache: Shalassisch,
2465,Sprache: Thalassisch,
2472,Schmiedekunst von Draenor,
2473,Schmiedekunst von Pandaria,
2474,Schmiedekunst des Kataklysmus,
2475,Schmiedekunst von Nordend,
2476,Schmiedekunst der Scherbenwelt,
2477,Schmiedekunst,
2478,Alchemie von Kul Tiras,Alchemie von Zandalar
2479,Alchemie der Verheerten Inseln,
2480,Alchemie von Draenor,
2481,Alchemie von Pandaria,
2482,Alchemie des Kataklysmus,
2483,Alchemie von Nordend,
2484,Alchemie der Scherbenwelt,
2485,Alchemie,
2486,Verzauberkunst von Kul Tiras,Verzauberkunst von Zandalar
2487,Verzauberkunst der Verheerten Inseln,
2488,Verzauberkunst von Draenor,
2489,Verzauberkunst von Pandaria,
2491,Verzauberkunst des Kataklysmus,
2492,Verzauberkunst von Nordend,
2493,Verzauberkunst der Scherbenwelt,
2494,Verzauberkunst,
2499,Ingenieurskunst von Kul Tiras,Ingenieurskunst von Zandalar
2500,Ingenieurskunst der Verheerten Inseln,
2501,Ingenieurskunst von Draenor,
2502,Ingenieurskunst von Pandaria,
