ID,MapName_lang
0,Die Östlichen Königreiche
1,Kalimdor
13,Art Team Map
25,Scott Test
30,Alteractal
33,Burg Schattenfang
34,Verlies von Sturmwind
35,Verlies von Sturmwind
36,Todesminen
37,Krater von Azshara
42,Collin's Test
43,Höhlen des Wehklagens
44,<unused>Kloster
47,Kral der Klingenhauer
48,Tiefschwarze Grotte
70,Uldaman
90,Gnomeregan
109,Der Versunkene Tempel
129,Hügel der Klingenhauer
169,Smaragdgrüner Traum
189,Das alte Scharlachrote Kloster
209,Zul'Farrak
229,Untere Schwarzfelsspitze
230,Schwarzfelstiefen
249,Onyxias Hort
269,Öffnung des Dunklen Portals
289,Scholomance
309,Altes Zul'Gurub
329,Stratholme
349,Maraudon
369,Tiefenbahn
389,Flammenschlund
409,Geschmolzener Kern
429,Düsterbruch
449,Allianz PvP Kaserne
450,Horde PvP Kaserne
451,Entwicklungsland
469,Pechschwingenhort
489,Klassische Kriegshymnenschlucht
509,Ruinen von Ahn'Qiraj
529,Klassisches Arathibecken
530,Scherbenwelt
531,Tempel von Ahn'Qiraj
532,Karazhan
533,Naxxramas
534,Die Schlacht um den Hyjal
540,Höllenfeuerzitadelle: Die Zerschmetterten Hallen
542,Höllenfeuerzitadelle: Blutkessel
543,Höllenfeuerzitadelle: Bollwerk
544,Magtheridons Kammer
545,Echsenkessel: Dampfkammer
546,Echsenkessel: Tiefensumpf
547,Echsenkessel: Sklavenunterkünfte
548,Echsenkessel: Höhle des Schlangenschreins
550,Festung der Stürme
552,Festung der Stürme: Die Arkatraz
553,Festung der Stürme: Die Botanika
554,Festung der Stürme: Die Mechanar
555,Auchindoun: Schattenlabyrinth
556,Auchindoun: Sethekkhallen
557,Auchindoun: Managruft
558,Auchindoun: Auchenaikrypta
559,Nagrand Arena (old)
560,Flucht aus Durnholde
562,zzOldBlade's Edge Arena
564,Der Schwarze Tempel
565,Gruuls Unterschlupf
566,Auge des Sturms
568,Zul'Aman
571,Nordend
572,Ruinen von Lordaeron
573,ExteriorTest
574,Burg Utgarde
575,Turm Utgarde
576,Der Nexus
578,Das Oculus
580,Der Sonnenbrunnen
582,Transport: Rut'theran nach Auberdine
584,Transport: Menethil nach Theramore
585,Terrasse der Magister
586,Transport: Exodar nach Auberdine
587,Transport: Mondfederfähre
588,Transport: Menethil nach Auberdine
589,Transport: Orgrimmar nach Grom'gol
590,Transport: Grom'gol nach Unterstadt
591,Transport: Unterstadt nach Orgrimmar
592,Transport: Boreanische Tundra - Test
593,Transport: Beutebucht nach Ratschet
594,Transport: Heulender Fjord Barmherzige Schwester (Quest)
595,Das Ausmerzen von Stratholme
596,Transport: Naglfar
597,Craig Test
598,Sunwell Fix (Unused)
599,Hallen des Steins
600,Feste Drak'Tharon
601,Azjol-Nerub
602,Hallen der Blitze
603,Ulduar
604,Gundrak
605,Development Land (non-weighted textures)
606,QA und DVD
607,Strand der Uralten
608,Violette Festung
609,Schwarze Festung
610,Transport: Tirisfal zum Hafen der Vergeltung
612,Transport: Menethil nach Valgarde
613,Transport: Orgrimmar zur Kriegshymnenfeste
614,Transport: Sturmwind zur Valianzfeste
615,Das Obsidiansanktum
616,Das Auge der Ewigkeit
617,Kanalisation von Dalaran
618,Der Ring der Ehre
619,Ahn'kahet: Das Alte Königreich
620,Transport: Moa'ki nach Unu'pe
621,Transport: Moa'ki nach Kamagua
622,Transport: Orgrims Hammer
623,Transport: Die Himmelsbrecher
624,Archavons Kammer
627,Unused (DELETE ME)
628,Insel der Eroberung
631,Eiskronenzitadelle
632,Die Seelenschmiede
637,Der Meeresschlund
638,Gilneas
641,Transport: AllianzLuftschiffSF
642,Transport: HordeLuftschiffSF
643,Thron der Gezeiten
644,Hallen des Ursprungs
645,Schwarzfelshöhlen
646,Tiefenheim
647,Transport: Orgrimmar nach Donnerfels
648,Die Verlorenen Inseln
649,Prüfung des Kreuzfahrers
650,Prüfung des Champions
651,ElevatorSpawnTest
654,Gilneas
655,Gilneas
656,Gilneas
657,Der Vortexgipfel
658,Grube von Saron
659,Die Verlorenen Inseln
660,Tiefenheim
661,Die Verlorenen Inseln
662,Transport: Allianzschiff nach Vashj'ir
668,Hallen der Reflexion
669,Pechschwingenabstieg
670,Grim Batol
671,Die Bastion des Zwielichts
672,Transport: Die Himmelsbrecher (Schlachtzug zur Eiskronenzitadelle)
673,Transport: Die Orgrims Hammer (Schlachtzug zur Eiskronenzitadelle)
674,Transport: Schiff nach Vashj'ir
712,Transport: Die Himmelsbrecher
713,Transport: Die Orgrims Hammer
718,Transport: Die Windesmacht (Schlachtzug in der Eiskronenzitadelle)
719,Der Hyjal
720,Feuerlande
721,Feuerlande-Terrain 2
723,Sturmwind
724,Rubinsanktum
725,Der Steinerne Kern
726,Zwillingsgipfel
727,Silberbruchmine
728,Die Schlacht um Gilneas (Alte Stadtkarte)
730,Mahlstromzone
731,Bombe des Steinkrallengebirges
732,Tol Barad
734,Terrasse von Ahn'Qiraj
