ID,Name_lang,Name_female_lang
1,Humano,Humana
2,Orco,Orco
3,Enano,Enana
4,Elfo de la noche,Elfa de la noche
5,No-muerto,No-muerta
6,Tauren,Tauren
7,Gnomo,Gnoma
8,Trol,Trol
9,Goblin,Goblin
10,Elfo de sangre,Elfa de sangre
11,Draenei,Draenei
12,Orco vil,Orco vil
13,Naga,Naga
14,Tábido,Tábida
15,Esqueleto,Esqueleto
16,Vrykul,Vrykul
17,Colmillarr,Colmillarr
18,Trol de bosque,Trol de bosque
19,Taunka,Taunka
20,Esqueleto de Rasganorte,Esqueleto de Rasganorte
21,Trol de hielo,Trol de hielo
22,Huargen,Huargen
23,Gilneano,Gilneana
24,Pandaren,Pandaren
25,Pandaren,Pandaren
26,Pandaren,Pandaren
27,Natonocturno,Natonocturna
28,Tauren de Altamontaña,Tauren de Altamontaña
29,Elfo del Vacío,Elfa del Vacío
30,Draenei templeluz,Draenei templeluz
31,Trol zandalari,Trol zandalari
32,Kultirano,Kultirana
33,Humano,Humana
34,Enano Hierro Negro,Enana Hierro Negro
35,Vulpera,Vulpera
36,Orco mag'har,Orco mag'har
37,Mecagnomo,Mecagnoma
