ID,Name_lang,FemaleName_lang
62,Arcano,Arcana
63,Fuego,Fuego
64,Escarcha,Escarcha
65,Sagrado,Sagrado
66,Protección,Protección
70,Reprensión,Reprensión
71,Armas,Armas
72,Furia,Furia
73,Protección,Protección
74,Ferocidad,Ferocidad
79,Astucia,Astucia
81,Tenacidad,Tenacidad
102,Equilibrio,Equilibrio
103,Feral,Feral
104,Guardián,Guardián
105,Restauración,Restauración
250,Sangre,Sangre
251,Escarcha,Escarcha
252,Profano,Profano
253,Bestias,Bestias
254,Puntería,Puntería
255,Supervivencia,Supervivencia
256,Disciplina,Disciplina
257,Sagrado,Sagrado
258,Sombra,Sombra
259,Asesinato,Asesinato
260,Forajido,Forajido
261,Sutileza,Sutileza
262,Elemental,Elemental
263,Mejora,Mejora
264,Restauración,Restauración
265,Aflicción,Aflicción
266,Demonología,Demonología
267,Destrucción,Destrucción
268,Maestro cervecero,Maestro cervecero
269,Viajero del viento,Viajero del viento
270,Tejedor de niebla,Tejedor de niebla
535,Ferocidad,Ferocidad
536,Astucia,Astucia
537,Tenacidad,Tenacidad
577,Caos,Caos
581,Venganza,Venganza
1444,Inicial,Inicial
1446,Inicial,Inicial
1447,Inicial,Inicial
1448,Inicial,Inicial
1449,Inicial,Inicial
1450,Inicial,Inicial
1451,Inicial,Inicial
1452,Inicial,Inicial
1453,Inicial,Inicial
1454,Inicial,Inicial
1455,Inicial,Inicial
1456,Inicial,Inicial
