ID,Name_lang,FemaleName_lang
62,Arcane,Arcane
63,Fire,Fire
64,Frost,Frost
65,Holy,Holy
66,Protection,Protection
70,Retribution,Retribution
71,Arms,Arms
72,Fury,Fury
73,Protection,Protection
74,Ferocity,Ferocity
79,Cunning,Cunning
81,Tenacity,Tenacity
102,Balance,Balance
103,Feral,Feral
104,Guardian,Guardian
105,Restoration,Restoration
250,Blood,Blood
251,Frost,Frost
252,Unholy,Unholy
253,Beast Mastery,Beast Mastery
254,Marksmanship,Marksmanship
255,Survival,Survival
256,Discipline,Discipline
257,Holy,Holy
258,Shadow,Shadow
259,Assassination,Assassination
260,Outlaw,Outlaw
261,Subtlety,Subtlety
262,Elemental,Elemental
263,Enhancement,Enhancement
264,Restoration,Restoration
265,Affliction,Affliction
266,Demonology,Demonology
267,Destruction,Destruction
268,Brewmaster,Brewmaster
269,Windwalker,Windwalker
270,Mistweaver,Mistweaver
535,Ferocity,Ferocity
536,Cunning,Cunning
537,Tenacity,Tenacity
577,Havoc,Havoc
581,Vengeance,Vengeance
1444,Initial,Initial
1446,Initial,Initial
1447,Initial,Initial
1448,Initial,Initial
1449,Initial,Initial
1450,Initial,Initial
1451,Initial,Initial
1452,Initial,Initial
1453,Initial,Initial
1454,Initial,Initial
1455,Initial,Initial
1456,Initial,Initial
1465,Initial,Initial
1467,Devastation,Devastation
1468,Preservation,Preservation
