ID,Name_lang,HordeName_lang,EffectArg[0],EffectArg[1],EffectArg[2],EffectScalingPoints[0],EffectScalingPoints[1],EffectScalingPoints[2],IconFileDataID,ItemLevelMin,ItemLevelMax,TransmogUseConditionID,TransmogCost,EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect[0],Effect[1],Effect[2],ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
13,Affilato II,,0,0,0,1,0,0,0,2,50,0,0,1,0,0,28,33,0,0,5,0,2,0,0,-1,0,0,0,1
14,Affilato III,,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,28,33,0,0,15,0,2,0,0,-1,0,0,0,7
15,Rinforzato (+$k1 Armatura),,0,0,0,0.072,0,0,0,0,50,0,0,8,0,0,0,32,0,0,1,0,4,0,0,-1,0,0,0,25
16,Rinforzato (+$k1 Armatura),,0,0,0,0.072,0,0,0,2,50,0,0,16,0,0,0,32,0,0,5,0,4,0,0,-1,0,0,0,25
17,Rinforzato (+$k1 Armatura),,0,0,0,0.1,0,0,0,12,50,0,0,24,0,0,0,32,0,0,20,0,4,0,0,-1,0,0,0,25
18,Rinforzato (+$k1 Armatura),,0,0,0,0.13,0,0,0,18,50,0,0,32,0,0,0,32,0,0,30,0,4,0,0,-1,0,0,0,25
19,Appesantito I,,0,0,0,0.6667,0,0,0,0,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
20,Appesantito II,,0,0,0,1,0,0,0,2,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
21,Appesantito III,,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,0,33,0,0,15,0,2,0,0,-1,0,0,0,7
24,+$k1 Mana,,0,0,0,0.1,0,0,0,0,50,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
25,Olio d'Ombra,,14122,0,0,0,0,0,0,15,50,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,11
26,Olio del Freddo,,96089,0,0,0,0,0,0,18,50,0,0,10,0,0,27,0,0,0,30,0,1,0,0,0,0,0,0,50
30,Mirino (+$k1 Danni),,0,0,0,0.08,0,0,0,2,50,0,0,1,0,0,0,32,0,0,5,0,2,0,0,-1,0,0,0,25
32,Mirino (+$k1 Danni),,0,0,0,0.06,0,0,0,5,50,0,0,1,0,0,0,32,0,0,10,0,2,0,0,-1,0,0,0,25
33,Mirino (+$k1 Danni),,0,0,0,0.1,0,0,0,12,50,0,0,2,0,0,0,33,0,0,20,0,2,0,0,-1,0,0,0,25
34,Contrappeso (+$k1 Indice di Celerità),,36,0,0,0.6,0,0,0,0,50,0,0,20,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
36,Brezzardente,,6297,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50
37,Catena per Arma d'Acciaio,,43588,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
38,+$k1 Indice di Schivata,,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,50
40,Affilato I,,0,0,0,0.67,0,0,0,0,50,0,0,1,0,0,28,33,0,0,1,0,2,0,0,-1,0,0,0,1
41,+$k1 Salute,,1,0,0,0.15,0,0,0,0,50,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
43,Chiodatura di Ferro,,9784,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
44,Assorbimento ($7423s1),,7445,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
63,Assorbimento ($7447s1),,7446,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
64,+$k1 Indice di Versatilità,,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,50
66,+$k1 Tempra,,7,0,0,0.072,0,0,0,0,50,0,0,1,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
67,+$k1 Danni,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
68,+$k1 Forza,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
69,+$k1 Forza,,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
70,+$k1 Forza,,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
71,+$k1 Tempra,,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72,+$k1 Tempra,,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
73,+$k1 Tempra,,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
