ID,Name_lang,Name_female_lang
1,Mensch,
2,Orc,
3,Zwerg,Zwergin
4,Nachtelf,Nachtelfe
5,Untoter,Untote
6,Tauren,
7,Gnom,
8,Troll,
9,Goblin,
10,Blutelf,Blutelfe
11,Draenei,Draenei
12,Höllenorc,
13,Naga,Naga
14,Zerschlagener,Zerschlagene
15,Skelett,
16,Vrykul,Vrykul
17,Tuskarr,Tuskarr
18,Waldtroll,
19,Taunka,
20,Nordendskelett,
21,Eistroll,
22,Worgen,
23,Gilneer,Gilneerin
24,Pandaren,
25,Pandaren,
26,Pandaren,
27,Nachtgeborener,Nachtgeborene
28,Hochbergtauren,
29,Leerenelf,Leerenelfe
30,Lichtgeschmiedeter Draenei,Lichtgeschmiedete Draenei
31,Zandalaritroll,
32,Kul Tiraner,Kul Tiranerin
33,Mensch,
34,Dunkeleisenzwerg,Dunkeleisenzwergin
35,Vulpera,
36,Mag'har,Mag'har
37,Mechagnom,
