ID,Name_lang,FemaleName_lang
62,Arcanes,Arcanes
63,Feu,Feu
64,Givre,Givre
65,Sacré,Sacré
66,Protection,Protection
70,Vindicte,Vindicte
71,Armes,Armes
72,Fureur,Fureur
73,Protection,Protection
74,Férocité,Férocité
79,Ruse,Ruse
81,Ténacité,Ténacité
102,Équilibre,Équilibre
103,Farouche,Farouche
104,Gardien,Gardien
105,Restauration,Restauration
250,Sang,Sang
251,Givre,Givre
252,Impie,Impie
253,Maîtrise des bêtes,Maîtrise des bêtes
254,Précision,Précision
255,Survie,Survie
256,Discipline,Discipline
257,Sacré,Sacré
258,Ombre,Ombre
259,Assassinat,Assassinat
260,Hors-la-loi,Hors-la-loi
261,Finesse,Finesse
262,Élémentaire,Élémentaire
263,Amélioration,Amélioration
264,Restauration,Restauration
265,Affliction,Affliction
266,Démonologie,Démonologie
267,Destruction,Destruction
268,Maître brasseur,Maître brasseur
269,Marche-vent,Marche-vent
270,Tisse-brume,Tisse-brume
535,Férocité,Férocité
536,Ruse,Ruse
537,Ténacité,Ténacité
577,Dévastation,Dévastation
581,Vengeance,Vengeance
1444,Initial,Initiale
1446,Initial,Initiale
1447,Initial,Initiale
1448,Initial,Initiale
1449,Initial,Initiale
1450,Initial,Initiale
1451,Initial,Initiale
1452,Initial,Initiale
1453,Initial,Initiale
1454,Initial,Initiale
1455,Initial,Initiale
1456,Initial,Initiale
