ID,DisplayName_lang,HordeDisplayName_lang
43,Epées,
44,Haches,
45,Arcs,
46,Armes à feu,
54,Masse,
55,Epées à deux mains,
95,Défense,
98,Langue : commun,
101,Racial - Nain,
109,Langue : orc,
111,Langue : nain,
113,Langue : darnassien,
115,Langue : taurahe,
118,Ambidextrie,
124,Racial - Tauren,
125,Racial - Orc,
126,Racial - Elfe de la nuit,
136,Bâtons,
137,Langue : thalassien,
138,Langue : draconique,
139,Langue : démoniaque,
140,Langue : titan,
141,Langue : langue ancienne,
142,Survie,
148,Equitation,
149,Monte de loup,
150,Monte de tigre,
152,Monte de bélier,
155,Natation,
160,Masses à deux mains,
162,Mains nues,
164,Forge,
165,Travail du cuir,
171,Alchimie,
172,Haches à deux mains,
173,Dagues,
182,Herboristerie,
183,GENERIQUE (DND),
185,Cuisine,
186,Minage,
188,Familier - diablotin,
189,Familier - chasseur corrompu,
197,Couture,
202,Ingénierie,
203,Familier - araignée,
204,Familier - marcheur du Vide,
205,Familier - succube,
206,Familier - infernal,
207,Familier - garde funeste,
208,Familier - loup,
209,Familier - félin,
210,Familier - ours,
211,Familier - sanglier,
212,Familier - crocilisque,
213,Familier - charognard,
214,Familier - crabe,
215,Familier - gorille,
217,Familier - raptor,
218,Familier - haut-trotteur,
220,Racial - Mort-vivant,
226,Arbalètes,
228,Baguettes,
229,Armes d'hast,
236,Familier - scorpide,
251,Familier - tortue,
270,Familier - générique chasseur,
293,Armure en plaques,
313,Langue : gnome,
315,Langue : troll,
333,Enchantement,
356,Pêche,
393,Dépeçage,
413,Mailles,
414,Cuir,
415,Tissu,
433,Bouclier,
473,Armes de pugilat,
533,Monte de raptor,
553,Pilotage de mécanotrotteur,
554,Monte de cheval squelette,
653,Familier - chauve-souris,
654,Familier - hyène,
655,Familier - oiseau de proie,
656,Familier - serpent des vents,
673,Langue : réprouvé,
713,Monte de kodo,
733,Racial - Troll,
753,Racial - Gnome,
754,Racial - Humain,
755,Joaillerie,
756,Racial - Elfe de sang,
758,Familier - Evénement - Télécommande,
759,Langue : draeneï,
760,Racial - Draeneï,
761,Familier - gangregarde,
762,Monte,
763,Familier - faucon-dragon,
764,Familier - raie du Néant,
765,Familier - sporoptère,
766,Familier - traqueur dimensionnel,
767,Familier - ravageur,
768,Familier - serpent,
769,Interne,
773,Calligraphie,
775,Familier - phalène,
777,Montures,
778,Compagnons,
780,Familier - chimère exotique,
781,Familier - diablosaure exotique,
782,Familier - goule,
783,Familier - Aqir exotique,
784,Familier - ver exotique,
785,Familier - guêpe,
786,Familier - sabot-fourchu exotique,
787,Familier - chien du magma exotique,
788,Familier - esprit de bête exotique,
789,Racial - Worgen,
790,Racial - Gobelin,
791,Langue : gilnéen,
792,Langue : gobelin,
794,Archéologie,
795,Chasseur,
796,Chevalier de la mort,
798,Druide,
800,Paladin,
804,Prêtre,
805,Familier - élémentaire d'eau,
808,Familier - renard,
810,Tous - Glyphes,
811,Familier - Molosse,
815,Familier - singe,
817,Familier - bête de schiste exotique,
818,Hanneton,
821,Tous - Bonus de guilde,
824,Familier - hydre,
829,Moine,
840,Guerrier,
849,Démoniste,
899,Racial - Pandaren,
904,Mage,
905,Langue : pandaren (neutre),
921,Voleur,
924,Chaman,
927,Diablotin gangrené,
928,Seigneur du Vide,
929,Shivarra,
930,Observateur,
931,Garde-courroux,
934,Tous - Spécialisations,
960,Runeforge,
962,Familier - élémentaire de feu primordial,
963,Familier - élémentaire de terre primordial,
975,Voie du grill,
976,Voie du wok,
977,Voie de la marmite,
978,Voie du cuit-vapeur,
979,Voie du four,
980,Voie du brassage,
981,Apprenti cuisinier,
982,Livre de cuisine de compagnon,
983,Familier - rongeur,
984,Familier - grue,
985,Familier - trotteur aquatique,
986,Familier - molosse de pierre exotique,
987,Familier - raucorne,
988,Familier - basilic,
999,SANS JOUEURS,
1305,Familier - navrecorne,
1748,Familier - élémentaire de tempête primordial,
1777,Pet - Water Elemental Minor Talent Version,
1819,Familier - potamodonte,
1830,Unused,
1848,Chasseur de démons,
1945,Abattage,
1981,Familier - garde de terreur,
1982,Familier - abyssal,
1993,Familier - cerf,
2000,Comptoir,
2152,Glaives de guerre,
2189,Familier - machine,
2216,Familier - abomination,
2279,Familier - bovin,
2280,Familier - peau écailleuse,
2361,Familier - Crin-de-plume,
2419,Racial - Sacrenuit,
2420,Racial - Tauren de Haut-Roc,
2421,Racial - Draeneï sancteforge,
2423,Racial - Elfe du Vide,
2437,Forge de Kul Tiras,Forge de Zandalar
2454,Forge de Legion,
2464,Langue : shalassien,
2465,Langue : thalassien,
