ID,Name_lang,Name_female_lang
1,Humano,Humana
2,Orco,
3,Enano,Enana
4,Elfo de la noche,Elfa de la noche
5,No-muerto,No-muerta
6,Tauren,
7,Gnomo,Gnoma
8,Trol,
9,Goblin,
10,Elfo de sangre,Elfa de sangre
11,Draenei,
12,Orco vil,
13,Naga,
14,Tábido,Tábida
15,Esqueleto,
16,Vrykul,
17,Colmillarr,
18,Trol de bosque,
19,Taunka,
20,Esqueleto de Rasganorte,
21,Trol de hielo,
22,Huargen,
23,Gilneano,Gilneana
24,Pandaren,
25,Pandaren,
26,Pandaren,
27,Nocheterna,
28,Tauren Monte Alto,
29,Elfo del Vacío,Elfa del Vacío
30,Draenei forjado por la Luz,Draenei forjada por la Luz
31,Trol Zandalari,
32,Ciudadano de Kul Tiras,Ciudadana de Kul Tiras
33,Humano,Humana
34,Enano Hierro Negro,Enana Hierro Negro
35,Vulpera,Vulpera
36,Orco Mag'har,Orco Mag'har
37,Mecagnomo,Mecagnomo
