ID,Description_lang,Reward_lang,Title_lang
6,Raggiungi il livello 10.,,Livello 10
7,Raggiungi il livello 20.,,Livello 20
8,Raggiungi il livello 30.,,Livello 30
9,Raggiungi il livello 40.,,Livello 40
10,Raggiungi il livello 50 prima dell'espansione Shadowlands.,,Livello 50 (Classico)
11,Raggiungi il livello 60 prima dell'espansione Shadowlands.,,Livello 60 (Classico)
12,Raggiungi il livello 70 prima dell'espansione Shadowlands.,,Livello 70 (Classico)
13,Raggiungi il livello 80 prima dell'espansione Shadowlands.,,Livello 80 (Classico)
15,Ottieni 15 mascotte uniche.,,Un sacco di amichetti
16,Hai portato a 400 la tua competenza in mani nude.,,Assaggia le mie mani giganti!
31,Completa una missione giornaliera per cinque giorni consecutivi.,,Sono un abitudinario...
32,Completa 2.000 missioni.,,2.000 missioni completate
33,Completa i gruppi di missioni della Tundra Boreale elencati qui sotto.,,Divertimento boreale
34,Completa i gruppi di missioni del Fiordo Echeggiante elencati qui sotto.,,Turista per fiordi
35,Completa i gruppi di missioni di Dracombra elencati qui sotto.,,All'ombra di Dracombra
36,Completa i gruppi di missioni di Zul'drak elencati qui sotto.,,L'impero di Zul'drak
37,Completa i gruppi di missioni dei Colli Bradi elencati qui sotto.,,Stato brado
38,Completa i gruppi di missioni delle Cime Tempestose elencati qui sotto.,,In cima alle vette
39,Completa i gruppi di missioni del Bacino di Sholazar elencati qui sotto.,,Smuovi il bacino
40,Completa i gruppi di missioni della Corona di Ghiaccio elencati qui sotto.,,Corona di Ghiaccio: obiettivo finale
41,Compi le imprese delle missioni di Nordania elencate qui sotto.,,Storico di Nordania
42,Esplora le regioni dei Regni Orientali.,,Esploratore dei Regni Orientali
43,Esplora le regioni di Kalimdor.,,Esploratore di Kalimdor
44,Esplora le regioni delle Terre Esterne.,,Esploratore delle Terre Esterne
45,Esplora le regioni di Nordania.,Ricompensa: Insegna dell'Esploratore,Esploratore di Nordania
46,"Esplora i Regni Orientali, Kalimdor, le Terre Esterne, Nordania, le aree rivelate dal Cataclisma, Pandaria, Draenor, le Isole Disperse, Kul Tiras e Zandalar.","Ricompensa: titolo ""l'Esploratore""",Esploratore universale
49,Vittorie nella Valle d'Alterac,,Vittorie nella Valle d'Alterac
50,Vittorie nell'Occhio del Ciclone,,Vittorie nell'Occhio del Ciclone
51,Vittorie nel Bacino d'Arathi,,Vittorie nel Bacino d'Arathi
52,Battaglie nella Forra dei Cantaguerra,,Battaglie nella Forra dei Cantaguerra
53,Battaglie nella Valle d'Alterac,,Battaglie nella Valle d'Alterac
54,Battaglie nell'Occhio del Ciclone,,Battaglie nell'Occhio del Ciclone
55,Battaglie nel Bacino d'Arathi,,Battaglie nel Bacino d'Arathi
60,Morti totali,,Morti totali
73,Assalta 3 basi in una singola battaglia nel Bacino d'Arathi.,,Guerrigliero del Bacino
94,Missioni abbandonate,,Missioni abbandonate
95,Media giornaliera di missioni completate,,Media giornaliera di missioni completate
97,Missioni giornaliere completate,,Missioni giornaliere completate
98,Missioni completate,,Missioni completate
99,Incontri alle Rovine di Lordaeron,,Incontri alle Rovine di Lordaeron
100,Vittorie nell'Arena di Nagrand,,Vittorie nell'Arena di Nagrand
