ID,MapName_lang
0,Regni Orientali
1,Kalimdor
13,Art Team Map
25,Scott Test
30,Valle d'Alterac
33,Forte di Zannascura
34,Segrete di Roccavento
35,<unused>StormwindPrison
36,Miniere della Morte
37,Cratere di Azshara
42,Collin's Test
43,Caverna dei Lamenti
44,<unused> Monastery
47,Gallerie di Lamaspina
48,Abissi di Fondocupo
70,Uldaman
90,Gnomeregan
109,Tempio Sommerso
129,Sotterranei di Lamaspina
169,Sogno di Smeraldo
189,Vecchio Monastero Scarlatto
209,Zul'farrak
229,Bastioni di Roccianera Inferiori
230,Sotterranei di Roccianera
249,Antro di Onyxia
269,Palude Nera
289,Scholomance
309,Zul'gurub Antica
329,Stratholme
349,Maraudon
369,Tram degli Abissi
389,Baratro di Fiamma Furente
409,Nucleo Ardente
429,Maglio Infausto
449,Caserme PvP dell'Alleanza
450,Caserme PvP dell'Orda
451,Terreni di Sviluppo
469,Fortezza dell'Ala Nera
489,Forra dei Cantaguerra Classica
509,Rovine di Ahn'qiraj
529,Bacino d'Arathi Classico
530,Terre Esterne
531,Tempio di Ahn'qiraj
532,Karazhan
533,Naxxramas
534,Battaglia per il Monte Hyjal
540,Cittadella del Fuoco Infernale: Sale della Devastazione
542,Cittadella del Fuoco Infernale: Forgia del Sangue
543,Cittadella del Fuoco Infernale: Bastioni
544,Antro di Magtheridon
545,Spiraguzza: Antro dei Vapori
546,Spiraguzza: Torbiera Sotterranea
547,Spiraguzza: Fosse degli Schiavi
548,Spiraguzza: Caverna di Sacrespire
550,Forte Tempesta
552,Forte Tempesta: Arcatraz
553,Forte Tempesta: Botanica
554,Forte Tempesta: Mecanar
555,Auchindoun: Labirinto delle Ombre
556,Auchindoun: Sale dei Sethekk
557,Auchindoun: Tombe del Mana
558,Auchindoun: Cripte degli Auchenai
559,Arena di Nagrand (Vecchia Mappa)
560,Fuga da Durnholde
562,Arena di Spinaguzza
564,Tempio Nero
565,Antro di Gruul
566,Occhio del Ciclone
568,Zul'aman
571,Nordania
572,Rovine di Lordaeron
573,ExteriorTest
574,Forte Utgarde
575,Pinnacolo di Utgarde
576,Nexus
578,Oculus
580,Pozzo Solare
582,Trasporto: Rut'theran - Auberdine
584,Trasporto: Menethil - Theramore
585,La Terrazza dei Magisteri
586,Trasporto: Exodar - Auberdine
587,Trasporto: Traghetto di Piumaluna
588,Trasporto: Menethil - Auberdine
589,Trasporto: Orgrimmar - Grom'gol
590,Trasporto: Grom'gol - Sepulcra
591,Trasporto: Sepulcra - Orgrimmar
592,Transport: Borean Tundra Test
593,Trasporto: Baia del Bottino - Porto Paranco
594,Trasporto: Fiordo Echeggiante - Sorella Pietà (missione)
595,Epurazione di Stratholme
596,Trasporto: Naglfar
597,Craig Test
598,Sunwell Fix (Unused)
599,Sale della Pietra
600,Forte di Drak'Tharon
