ID,Region,Looping,HolidayNameID,HolidayDescriptionID,Priority,CalendarFilterType,Flags,Duration[0],Duration[1],Duration[2],Duration[3],Duration[4],Duration[5],Duration[6],Duration[7],Duration[8],Duration[9],Date[0],Date[1],Date[2],Date[3],Date[4],Date[5],Date[6],Date[7],Date[8],Date[9],Date[10],Date[11],Date[12],Date[13],Date[14],Date[15],Date[16],Date[17],Date[18],Date[19],Date[20],Date[21],Date[22],Date[23],Date[24],Date[25],CalendarFlags[0],CalendarFlags[1],CalendarFlags[2],CalendarFlags[3],CalendarFlags[4],CalendarFlags[5],CalendarFlags[6],CalendarFlags[7],CalendarFlags[8],CalendarFlags[9],TextureFileDataID[0],TextureFileDataID[1],TextureFileDataID[2]
62,0,0,12,11,10,-1,1,18,0,0,0,0,0,0,0,0,0,526449280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235457,0,0
141,0,0,14,13,5,-1,1,404,0,0,0,0,0,0,0,0,0,531888768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235485,235484,235482
181,0,0,15,14,5,-1,1,168,0,0,0,0,0,0,0,0,0,120715264,136689664,154564608,170981376,188086272,204601344,221264512,238369408,254900864,270989952,288635520,305166976,322271872,338901632,355547776,372537984,389184128,405813888,422918784,439450240,455555712,473184896,489716352,506821248,0,0,3,0,0,0,0,0,0,0,0,0,235477,235476,235475
201,0,0,13,12,5,-1,1,168,0,0,0,0,0,0,0,0,0,71333888,88094720,104298496,121059328,138475520,155236352,171997184,188758016,204945408,221723264,238484096,255244928,272661120,289421952,305625728,322992768,339753600,356563584,373324416,390085248,406272640,423033472,439794304,457226880,473971328,490175104,3,0,0,0,0,0,0,0,0,0,235445,235444,235443
283,0,0,22,22,0,2,1,96,1752,0,0,0,0,0,0,0,0,127301632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,25,25,0,2,1,96,1752,0,0,0,0,0,0,0,0,127956992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,23,23,0,2,1,96,1752,0,0,0,0,0,0,0,0,127072256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,17,16,5,-1,1,168,0,0,0,0,0,0,0,0,0,92469248,110131200,126220288,142735360,159823872,176420864,193034240,210106368,226704000,243300992,260389504,276970112,294075008,310672000,327318144,344406656,360987264,377584256,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235465,235464,235463
324,0,0,16,15,5,-1,1,337,0,0,0,0,0,0,0,0,0,529824384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235462,235461,235460
327,0,0,18,17,5,-1,1,336,0,0,0,0,0,0,0,0,0,101104000,118749568,135346560,151386496,169048448,184924160,201684992,218544128,235207296,252967552,269499008,285555328,303315584,319224448,335936128,353450624,369588864,386267776,403749504,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235471,235470,235469
335,0,0,9,9,5,-1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235468,235467,235466
341,0,0,11,10,5,-1,1,336,0,0,0,0,0,0,0,0,0,525679232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235474,235473,235472
353,0,0,24,24,0,2,1,96,1752,0,0,0,0,0,0,0,0,127186944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,7,8,6,-1,1,168,384,0,0,0,0,0,0,0,0,528693888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,235442,235441,235440
398,0,0,21,21,5,-1,1,24,0,0,0,0,0,0,0,0,0,528792192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235481,0,0
400,0,0,41,41,0,2,1,96,1752,0,0,0,0,0,0,0,0,128071680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,101,101,5,-1,1,167,0,0,0,0,0,0,0,0,0,161839168,178600000,195360832,212105280,228997760,245758592,262519424,279263872,296024704,312785536,329661056,346405504,363182720,379910784,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235465,235464,235463
406,0,0,61,61,0,-1,0,0,0,0,0,0,0,0,0,0,0,144914432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,249163,0,0
409,1999,0,81,81,10,-1,1,48,0,0,0,0,0,0,0,0,0,530594432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,307365,840589,307364
420,0,0,121,121,0,2,1,96,1752,0,0,0,0,0,0,0,0,128186368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
423,0,0,9,9,5,-1,1,336,0,0,0,0,0,0,0,0,0,168933376,185694208,202455040,219314176,236092032,252738176,269728384,286374528,303069824,320010880,336722560,353499776,370260608,387021440,403782272,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235468,235467,235466
424,0,0,161,161,0,0,1,1,0,0,0,0,0,0,0,0,0,100660096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235458,0,0
435,0,0,162,162,0,2,1,96,1752,0,0,0,0,0,0,0,0,128301056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,163,163,0,2,1,96,1752,0,0,0,0,0,0,0,0,128415744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
442,0,1,165,165,0,2,1,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
443,0,0,166,166,0,2,1,168,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
467,0,0,203,188,0,-1,1,336,0,0,0,0,0,0,0,0,0,195360768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,1,201,1,1,1,48,168,0,0,0,0,0,0,0,0,381122560,386971648,388020224,388478976,390150144,391149568,391608320,393279488,394278912,394737664,396408832,397424640,369211392,370210816,371259392,372258816,372717568,374388736,375404544,376518656,377518080,377976832,379648000,380663808,0,0,0,3,0,0,0,0,0,0,0,0,235448,235447,235446
484,0,0,220,188,0,-1,1,336,0,0,0,0,0,0,0,0,0,212105216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
488,0,0,222,204,0,2,1,96,1752,0,0,0,0,0,0,0,0,129087488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
489,0,0,223,205,0,2,1,96,1752,0,0,0,0,0,0,0,0,129202176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
490,0,0,22,22,0,2,1,72,1776,0,0,0,0,0,0,0,0,129038336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
