ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,Flags[0],Flags[1],Flags[2]
0,Azeroth,Eastern Kingdoms,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,17,804940,775971,0,159399517,134479888,8
1,Kalimdor,Kalimdor,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,17,804935,782779,0,159399517,134479888,8
30,PVPZone01,Alterac Valley,"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).",Slay the enemy leader,"- Capture enemy towers and bunkers
- Slay the enemy leader
- Reduce the enemy reinforcements to 0",0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,0,1553,135004168,0
33,Shadowfang,Shadowfang Keep,,,,,-230.989,1571.57,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,0,1565,134479880,0
34,StormwindJail,Stormwind Stockade,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,0,1553,134479880,0
36,DeadminesInstance,Deadmines,,,,,-11207.8,1681.15,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,0,1553,134479880,0
43,WailingCaverns,Wailing Caverns,,,,,-751.1312,-2209.2405,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,0,1553,134479880,0
47,RazorfenKraulInstance,Razorfen Kraul,,,,,-4459.449,-1660.2118,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,0,1553,134479880,0
48,Blackfathom,Blackfathom Deeps,,,,,4249.1206,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,0,1553,134479880,0
70,Uldaman,Uldaman,,,,,-6060.1816,-2954.9973,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,0,1553,134479880,0
90,GnomeragonInstance,Gnomeregan,,,,,-5162.6616,931.59875,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,0,1553,134479880,0
109,SunkenTemple,Sunken Temple,,,,,-10291.7,-3987.63,2,1,0,1477,191,-1,-1,-1,0,1,0,10,0,0,791166,0,1553,134479880,0
129,RazorfenDowns,Razorfen Downs,,,,,-4662.883,-2535.8716,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,0,1553,134479880,0
169,EmeraldDream,Emerald Dream,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,0,1553,134479880,0
189,MonasteryInstances,Scarlet Monastery of Old,,,,,2892.2354,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,0,0,788662,0,1553,134479880,0
209,TanarisInstance,Zul'Farrak,,,,,-6790.5767,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,0,1553,134479880,0
229,BlackRockSpire,Lower Blackrock Spire,,,,,-7522.527,-1233.0415,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,0,1537,134479880,0
230,BlackrockDepths,Blackrock Depths,,,,,-7178.0947,-928.63947,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,0,1553,134479880,0
249,OnyxiaLairInstance,Onyxia's Lair,,,,,-4753.3125,-3752.4211,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,0,34305,134479880,0
269,CavernsOfTime,Opening of the Dark Portal,,,,,-8750.827,-4193.513,1,1,1,0,212,-1,-1,-1,0,1,1,5,0,0,829736,0,1553,134479880,0
289,SchoolofNecromancy,Scholomance OLD,,,,,1274.7812,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,0,1553,134479880,0
309,Zul'gurub,Ancient Zul'Gurub,,,,,-11916.06,-1224.5771,1,1,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,0,525841,134479880,0
329,Stratholme,Stratholme,,,,,3392.317,-3378.4832,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,0,1553,134479880,0
349,Mauradon,Maraudon,,,,,-1432.6971,2924.9775,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,0,1553,134479880,0
369,DeeprunTram,Deeprun Tram,,,,,-8349.224,517.34796,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,0,268437009,134480384,0
389,OrgrimmarInstance,Ragefire Chasm,,,,,1816.7559,-4423.3716,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,0,1553,134479880,0
409,MoltenCore,Molten Core,,,,,-7510.565,-1036.6981,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,0,1553,134479880,0
429,DireMaul,Dire Maul,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,0,1537,134479880,0
449,AlliancePVPBarracks,Alliance PVP Barracks,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,-1,0,0,0,775968,0,1553,134479880,0
450,HordePVPBarracks,Horde PVP Barracks,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,-1,0,0,0,782776,0,1553,134479880,0
469,BlackwingLair,Blackwing Lair,,,,,-7663.4126,-1218.6665,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,0,1553,134479880,0
