Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,ID,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,SpellTextureBlobFileDataID,RolesMask,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB
Warrior,WARRIOR,Warrior,Warrior,PET,"Warriors are plate-wearing fighters who strive for perfection in armed combat. As warriors fight they generate rage, which is used to power special attacks.",Roles: |cffffffffTank or Melee Damage|r,You must choose a different race to be this class.,Warrior,Warrior,1,0,0,626008,0,169010,791568,10,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,5,1,0,0,1,4,198,155,109
Paladin,PALADIN,Paladin,Paladin,PET,"Paladins are heavily-armored fighters and defenders who use Holy magic to heal wounds and combat evil. They can focus on two-handed weapons, shields or healing.","Roles: |cffffffffTank, Healer, or Melee Damage|r",You must choose a different race to be this class.,Paladin,Paladin,2,0,0,626003,0,135226,791563,14,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,4,0,0,0,1,10,244,140,186
Hunter,HUNTER,Hunter,Hunter,PET,Hunters are at home in the wilderness and have a special affinity for beasts. They rely on their weaponry and their pet to deal damage.,Roles: |cffffffffRanged or Melee Damage|r,You must choose a different race to be this class.,Hunter,Hunter,3,0,0,626000,0,33174,791560,8,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,2,2,1,1,0,9,170,211,114
Rogue,ROGUE,Rogue,Rogue,PET,"Rogues often serve as assassins or scouts, though many are lone wolves as well. Rogues can often sneak around enemies or attack an opponent from behind to try and finish them off quickly.",Role: |cffffffffMelee Damage|r,You must choose a different race to be this class.,Rogue,Rogue,4,0,0,626005,0,167938,791565,8,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,3,3,1,1,0,8,255,244,104
Priest,PRIEST,Priest,Priest,PET,"Priests are well-rounded healers with a variety of tools. However, they can also sacrifice their healing to deal damage with Shadow magic.",Roles: |cffffffffHealer or Ranged Damage|r,You must choose a different race to be this class.,Priest,Priest,5,0,0,626004,0,2,791564,12,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,0,0,0,0,0,6,255,255,255
Death Knight,DEATHKNIGHT,Death Knight,Death Knight,PET,"Death Knights are a hero class, which means they start at higher level. Death Knights are a melee class with an emphasis on causing diseases and using dark magic.",Roles: |cffffffffTank or Melee Damage|r,Creating a Death Knight with the selected race requires that you purchase Shadowlands.,Death Knight,Death Knight,6,236082,236082,135771,1560617,189562,791558,10,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,5,6,0,0,1,15,196,30,58
Shaman,SHAMAN,Shaman,Shaman,PET,"Shaman use the power of the elements to enhance their weapon damage or spells. Shaman summon totems in combat, small objects that disable enemies, heal, or cause damage to enemies.","Roles: |cffffffffHealer, Ranged Damage, or Melee Damage|r",You must choose a different race to be this class.,Shaman,Shaman,7,0,0,626006,0,294938,791566,12,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,0,0,0,1,0,11,0,112,221
Mage,MAGE,Mage,Mage,PET,Mages are the iconic magic-users of Azeroth who learn their craft through intense research and study. They make up for their light armor with a potent array of offensive and defensive spells.,Role: |cffffffffRanged Damage|r,You must choose a different race to be this class.,Mage,Mage,8,0,0,626001,0,4098,791561,8,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,0,0,0,0,0,3,63,199,235
Warlock,WARLOCK,Warlock,Warlock,DEMON,"Warlocks cast Fire or Shadow magic to damage, drain, or curse their enemy. They summon demons as servants.",Role: |cffffffffRanged Damage|r,You must choose a different race to be this class.,Warlock,Warlock,9,0,0,626007,0,134,791567,8,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,0,0,0,0,0,5,135,136,238
Monk,MONK,Monk,Monk,PET,"Monks are known for their skill in hand to hand fighting, relying on their fists and feet as much as their weapons. Monks can also specialize in calling upon the restorative power of the mists to heal allies.","Roles: |cffffffffTank, Healer, or Melee Damage|r",Requires Mists of Pandaria,Monk,Monk,10,0,0,626002,0,165378,791562,14,37,20773,129344,132583,0,0,0,0,0,15000,0,268,2,3,0,1,0,53,0,255,152
Druid,DRUID,Druid,Druid,PET,"Druids are shape-shifters with an affinity for the plant and animal kingdoms. Druids can specialize in healing, casting spells at range, or taking on the form of a cat or bear to fight in melee.","Roles: |cffffffffTank, Healer, Ranged Damage, or Melee Damage|r",You must choose a different race to be this class.,Druid,Druid,11,0,0,625999,0,294922,791559,14,2341,20770,129374,132588,0,0,0,133404,133294,15000,0,102,0,0,0,1,0,7,255,124,10
