ID,DisplayName_lang,HordeDisplayName_lang
43,Espadas,
44,Machados,
45,Arcos,
46,Armas de Fogo,
54,Maças,
55,Espadas de Duas Mãos,
95,Defesa,
98,Língua: Comum,
101,Racial - Anão,
109,Língua: Órquica,
111,Língua: Enânica,
113,Língua: Darnassiana,
115,Língua: Taurahe,
118,Empunhar Duas Armas,
124,Racial - Tauren,
125,Racial - Orc,
126,Racial - Elfo Noturno,
136,Báculos,
137,Língua: Talassiana,
138,Língua: Dracônica,
139,Língua: Demoníaca,
140,Língua: Titânica,
141,Língua: Antiga,
142,Sobrevivência,
148,Equitação,
149,Cavalgar Lobo,
150,Cavalgar Tigre,
152,Cavalgar Carneiro,
155,Natação,
160,Maças de Duas Mãos,
162,Combate desarmado,
164,Ferraria,
165,Couraria,
171,Alquimia,
172,Machados de Duas Mãos,
173,Adagas,
182,Herborismo,
183,GENERIC (DND),
185,Culinária,
186,Mineração,
188,Companheiro - Diabrete,
189,Companheiro - Caçador Vil,
197,Alfaiataria,
202,Engenharia,
203,Companheiro - Aranha,
204,Companheiro - Emissário do Caos,
205,Companheiro - Súcubo,
206,Companheiro - Infernal,
207,MAscote - Demonarca,
208,Companheiro - Lobo,
209,Companheiro - Gato,
210,Companheiro - Urso,
211,Companheiro - Javali,
212,Companheiro - Crocolisco,
213,Companheiro - Ave Carniceira,
214,Companheiro - Caranguejo,
215,Companheiro - Gorila,
217,Companheiro - Raptor,
218,Companheiro - Moa,
220,Racial - Morto-vivo,
226,Bestas,
228,Varinhas,
229,Armas de Haste,
236,Companheiro - Escorpídeo,
251,Companheiro - Tartaruga,
270,Companheiro - Caçador Genérico,
293,Armadura de Placa,
313,Língua: Gnômica,
315,Língua: Zandáli,
333,Encantamento,
356,Pesca,
393,Esfolamento,
413,Malha,
414,Couro,
415,Tecido,
433,Escudo,
473,Armas de punho,
533,Cavalgar Raptor,
553,Pilotar Mecanostruz,
554,Equitação de Morto-vivo,
653,Companheiro - Morcego,
654,Companheiro - Hiena,
655,Companheiro - Ave de Rapina,
656,Companheiro - Serpente Alada,
673,Língua: Renegada,
713,Cavalgar Kodo,
733,Racial - Troll,
753,Racial - Gnomo,
754,Racial - Humano,
755,Joalheria,
756,Racial - Elfo Sangrento,
758,Companheiro - Evento - Controle Remoto,
759,Língua: Draenei,
760,Racial - Draenei,
761,Companheiro - Guarda Vil,
762,Montaria,
763,Companheiro - Falcodrago,
764,Companheiro - Arraia Etérea,
765,Companheiro - Quirósporo,
766,Companheiro - Espreitador Dimensional,
767,Companheiro - Assolador,
768,Companheiro - Serpente,
769,Interno,
773,Escrivania,
775,Companheiro - Mariposa,
777,Montarias,
778,Mascotes,
780,Companheiro - Quimera Exótica,
781,Mascote - Demossauro Exótico,
782,Companheiro - Carniçal,
783,Mascote - Aqir Exótico,
784,Companheiro - Verme Exótico,
785,Pet - Wasp,
786,Mascote - Fenoceronte Exótico,
787,Companheiro - Cão-magma Exótico,
788,Companheiro - Fera Espiritual Exótica,
789,Racial - Worgen,
790,Racial - Goblin,
791,Língua: Guilneana,
792,Língua: Goblin,
794,Arqueologia,
795,Caçador,
796,Cavaleiro da Morte,
798,Druida,
800,Paladino,
804,Sacerdote,
805,Companheiro - Elemental da Água,
808,Companheiro - Raposa,
810,Tudo - Glifos,
811,Mascote - Canaz,
815,Pet - Monkey,
817,Ajudante - Fera Xistosa Exótica,
818,Besouro,
821,Todos - Benefícios da Guilda,
824,Pet - Hydra,
829,Monge,
840,Guerreiro,
849,Bruxo,
899,Racial - Pandaren,
904,Mago,
905,Idioma: Pandaren Neutro,
921,Ladino,
924,Xamã,
927,Diabrete Vil,
928,Senhor do Caos,
929,Shivarra,
930,Observador,
931,Guardião Colérico,
934,Todos - Especialização,
960,Forjar Runas,
962,Mascote - Elemental do Fogo Primevo,
963,Mascote - Elemental da Terra Primevo,
975,Caminho da Grelha,
976,Caminho da Wok,
977,Caminho da Panela,
978,Caminho da Vaporeira,
979,Caminho do Forno,
980,Caminho da Infusão,
981,Cozinheiro Aprendiz,
982,Cozinheiro Profissional,
983,Mascote - Roedor,
984,Mascote - Garça,
985,Mascote - Caminhante das Águas,
986,Mascote - Canaz Pétreo Exótico,
987,Mascote - Rabujo,
988,Mascote - Basilisco,
999,SEM JOGADORES,
1305,Mascote - Escornante,
1748,Mascote - Elemental da Tempestade Primevo,
1777,Mascote - Versão de Talento Menor de Elemental da Água,
1819,Mascote - Fera-do-rio,
1830,Unused,
1848,Caçador de Demônios,
1945,Cortar Lenha,
1981,Mascote - Deimoguarda,
1982,Mascote - Abissal,
1993,Mascote - Cervo,
2000,Posto Comercial,
2152,Glaives de Guerra,
