ID,Name_lang,HordeName_lang,EffectArg[0],EffectArg[1],EffectArg[2],EffectScalingPoints[0],EffectScalingPoints[1],EffectScalingPoints[2],IconFileDataID,ItemLevelMin,ItemLevelMax,TransmogUseConditionID,TransmogCost,EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect[0],Effect[1],Effect[2],ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
13,Afiada II,,0,0,0,1,0,0,0,2,50,0,0,1,0,0,28,33,0,0,5,0,2,0,0,-1,0,0,0,1
14,Afiada III,,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,28,33,0,0,15,0,2,0,0,-1,0,0,0,7
15,Reforçado (+$k1 de Armadura),,0,0,0,0.072,0,0,0,0,50,0,0,8,0,0,0,32,0,0,1,0,4,0,0,-1,0,0,0,25
16,Reforçado (+$k1 de Armadura),,0,0,0,0.072,0,0,0,2,50,0,0,16,0,0,0,32,0,0,5,0,4,0,0,-1,0,0,0,25
17,Reforçado (+$k1 de Armadura),,0,0,0,0.1,0,0,0,12,50,0,0,24,0,0,0,32,0,0,20,0,4,0,0,-1,0,0,0,25
18,Reforçado (+$k1 de Armadura),,0,0,0,0.13,0,0,0,18,50,0,0,32,0,0,0,32,0,0,30,0,4,0,0,-1,0,0,0,25
19,Balanceada I,,0,0,0,0.6667,0,0,0,0,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
20,Balanceada II,,0,0,0,1,0,0,0,2,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
21,Balanceada III,,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,0,33,0,0,15,0,2,0,0,-1,0,0,0,7
24,+$k1 de Mana,,0,0,0,0.1,0,0,0,0,50,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
25,Óleo de Sombra,,14122,0,0,0,0,0,0,15,50,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,11
26,Óleo Gélido,,96089,0,0,0,0,0,0,18,50,0,0,10,0,0,27,0,0,0,30,0,1,0,0,0,0,0,0,50
30,Mira (+$k1 de Dano),,0,0,0,0.08,0,0,0,2,50,0,0,1,0,0,0,32,0,0,5,0,2,0,0,-1,0,0,0,25
32,Mira (+$k1 de Dano),,0,0,0,0.06,0,0,0,5,50,0,0,1,0,0,0,32,0,0,10,0,2,0,0,-1,0,0,0,25
33,Mira (+$k1 de Dano),,0,0,0,0.1,0,0,0,12,50,0,0,2,0,0,0,33,0,0,20,0,2,0,0,-1,0,0,0,25
34,Contrapeso (+$k1 de Aceleração),,36,0,0,0.6,0,0,0,0,50,0,0,20,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
36,Encantar: Labareda Abrasadora,,6297,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50
37,Corrente de Arma de Aço,,43588,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
38,+$k1 de Esquiva,,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,50
40,Afiada I,,0,0,0,0.67,0,0,0,0,50,0,0,1,0,0,28,33,0,0,1,0,2,0,0,-1,0,0,0,1
41,+$k1 de Vida,,1,0,0,0.15,0,0,0,0,50,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
43,Espigão de Ferro,,9784,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
44,Absorção ($7423s1),,7445,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
63,Absorção ($7447s1),,7446,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,50
64,+$k1 de Versatilidade,,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,50
66,+$k1 de Vigor,,7,0,0,0.072,0,0,0,0,50,0,0,1,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
67,+$k1 de Dano,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
68,+$k1 de Força,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
69,+$k1 de Força,,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
70,+$k1 de Força,,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
71,+$k1 de Vigor,,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72,+$k1 de Vigor,,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
73,+$k1 de Vigor,,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
74,+$k1 de Agilidade,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
75,+$k1 de Agilidade,,3,0,0,0.4,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,0,5,0,0,-3,0,0,0,25
76,+$k1 de Agilidade,,3,0,0,0.6,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,5,0,0,-3,0,0,0,25
77,+$k1 de Dano,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,0,0
78,+$k1 de Dano,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,0,0
79,+$k1 de Intelecto,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
80,+$k1 de Intelecto,,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
