ID,Name_lang,Name_female_lang
1,Human,
2,Orc,
3,Dwarf,
4,Night Elf,
5,Undead,
6,Tauren,
7,Gnome,
8,Troll,
9,Goblin,
10,Blood Elf,
11,Draenei,
12,Fel Orc,
13,Naga,
14,Broken,
15,Skeleton,
16,Vrykul,
17,Tuskarr,
18,Forest Troll,
19,Taunka,
20,Northrend Skeleton,
21,Ice Troll,
22,Worgen,
23,Gilnean,
24,Pandaren,
25,Pandaren,
26,Pandaren,
27,Nightborne,
28,Highmountain Tauren,
29,Void Elf,
30,Lightforged Draenei,
31,Zandalari Troll,
32,Kul Tiran,
33,Human,
34,Dark Iron Dwarf,
35,Vulpera,
36,Mag'har Orc,
37,Mechagnome,
52,Dracthyr,
70,Dracthyr,
71,Highland Drake,
72,Renewed Proto-Drake,
73,Winding Slitherdrake,
74,Cliffside Wylderdrake,
75,Visage,
76,Visage,
77,Windborne Velocidrake,
