Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
Bloodlust,"Enables the Bloodlust ability, which increases the success chance of the first mission you send each day by ${$a701}%.",39,31,0,1,136012,41962,578,0,0,0,0,0,0
Reincarnation,"Enables the Reincarnation ability for all missions, granting a ${$a772}% chance on mission success to recover an expired Troop with $m772 Vitality.",40,31,1,1,451167,41955,646,0,0,0,0,0,0
Ancestral Gift,Enables a chance on mission success for your Champions to return with Champion armaments or equipment.,41,31,2,1,237574,41958,788,0,0,0,0,0,0
Ancestral Legends,Increase the number of Legendary items you can equip by ${$a898}.,42,31,5,0,237571,41961,0,0,0,0,0,0,0
Elemental Knowledge,"Newly recruited Lesser Elementals become Greater Elementals, increasing their chance of mission success by ${$a638-$a637}%.",43,31,3,0,893777,41959,0,0,0,0,0,0,0
Whispers of the Earth,"Newly recruited Circles of Earthcallers become Earthen Ring Geomancers, which gain:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffMagma Storm|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
Rise!,"Allows you to recruit Ascendants.

Ascendants increase success chance by ${$a650}% on missions with either |C00b3ffffHazards|R, |C00b3ffffSpells|R or |C00b3ffffMinions|R, chosen at random, in addition to:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffAscendant's Fury|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
Spirit Walk,Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.,49,31,4,0,636335,41960,0,0,0,0,0,0,0
Training Grounds,"Increases the maximum number of Lesser and Greater Elementals, Earthcallers and Geomancers you can recruit by ${$a702}.",52,31,2,0,135776,41958,579,0,0,0,0,0,0
Elemental Binding,"Grants access to the Lords of Fire, Earth, Wind and Water.  Each day a random Lord will appear in your Order Hall who can provide you with a powerful combat bonus.",53,31,1,0,135988,41955,0,0,0,0,0,0,0
The Spirit's Call,Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.,54,31,0,0,136014,41962,0,0,0,0,0,0,0
Auspicious Fortune,Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.,248,4,0,0,636335,41962,0,0,0,0,0,0,0
Enlightenment,"Newly recruited troops have a chance to be promoted one rank, making them more powerful.  

Initiates have a chance to become Adepts, and Adepts have a chance to become Masters.",249,4,1,1,648628,41955,0,0,0,0,0,0,0
Path of the Ox,"Newly recruited Ox Initiates become Ox Adepts, increasing their chance of mission success by ${$a897-$a695}%.",250,4,3,0,620829,41959,0,0,0,0,0,0,0
Path of the Tiger,"Newly recruited Tiger Initiates become Tiger Adepts, which gain:

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t |CffffffffSpinning Crane Kick|R
$@garrabdesc576",251,4,3,1,611420,41959,0,0,0,0,0,0,0
Living Quarters,"Increases the maximum number of Ox Initiates, Ox Adepts, Tiger Initiates and Tiger Adepts you can recruit by ${$a694}.",252,4,2,0,651489,41958,571,0,0,0,0,0,0
Lucky Envelope,"Enables the Lucky Envelope ability, which increases the success chance of the first mission you send each day by ${$a693}%.",253,4,0,1,134268,41962,570,0,0,0,0,0,0
Brewhouse,"Grants you access to the Bubbling Keg inside the Stormstout Inn once a day.  

Tapping the Bubbling Keg will grant valuable bonuses to assist you while questing in the Broken Isles.",254,4,1,0,651573,41955,0,0,0,0,0,0,0
Pilgrimage,Enables a chance on mission success for your Champions to return with Champion armaments or equipment.,255,4,2,1,775462,41958,785,0,0,0,0,0,0
One with Destiny,Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.,256,4,4,0,656322,41960,0,0,0,0,0,0,0
Celestial Favor,"Allows you to recruit Celestials.  

Celestials have a random Monk Specialization and can counter a |C00b3ffffBoss|R, in addition to:

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t |CffffffffEcho of the Celestial|R
$@garrabdesc749",257,4,4,1,656166,41960,0,0,0,0,0,0,0
Fists of Legend,Increase the number of Legendary items you can equip by ${$a898}.,258,4,5,0,606548,41961,0,0,0,0,0,0,0
Elune's Favor,Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.,347,107,0,0,236151,41962,0,0,0,0,0,0,0
Reclamation,Enables a chance on mission success for your Champions to return with Champion armaments or equipment.,348,107,2,1,1033478,41958,787,0,0,0,0,0,0
Travel Form,"Enables the Travel Form ability for all missions, reducing mission duration by ${100-$a715*100}%.",349,107,1,1,132144,41955,592,0,0,0,0,0,0
Hibernation,"Increases the maximum number of Dreamgrove Treants, Daughters of Cenarius, Druids of the Claw and Keepers of the Grove you can recruit by ${$a900}.",350,107,2,0,132136,41958,753,0,0,0,0,0,0
Laughing Sisters,"Newly recruited Dreamgrove Treants become Daughters of Cenarius, increasing their chance of mission success by ${$a679-$a678}%.",351,107,3,0,136021,41959,0,0,0,0,0,0,0
Force of the Forest,"Newly recruited Druids of the Claw become Keepers of the Grove and gain:

|TInterface\ICONS\ABILITY_DRUID_FLOURISH.BLP:20:20:0:0|t |CffffffffWild Growth|R
$@garrabdesc558",352,107,3,1,132113,41959,0,0,0,0,0,0,0
Roots,"Enables the Roots ability, which increases the success chance of the first mission you send each day by ${$a714}% if that mission has |C00b3ffffMinions|R.",353,107,0,1,134412,41962,591,0,0,0,0,0,0
Evergreen,"Grants access to two plots of rich soil, allowing you to grow and harvest plants that provide helpful items once every 3 days to use on the Broken Isles.",354,107,1,0,612099,41955,0,0,0,0,0,0,0
Elune's Chosen,Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.,355,107,4,0,611423,41960,0,0,0,0,0,0,0
Ancient of War,"Allows you to recruit an Ancient of War.  

Ancients of War have a random Druid Specialization and can counter a |C00b3ffffBoss|R, in addition to:

|TInterface\ICONS\INV_PET_ANCIENTPROTECTOR.BLP:20:20:0:0|t |CffffffffStrength of the Ancients|R
$@garrabdesc435",356,107,4,1,874857,41960,0,0,0,0,0,0,0
