ID,DifficultyID,JournalEncounterItemID
39,1,9111
40,3,9111
41,1,9112
42,3,9112
43,2,9113
44,4,9113
45,2,9114
46,4,9114
47,1,9115
48,3,9115
49,2,9116
50,4,9116
51,2,9117
52,4,9117
53,2,9118
54,4,9118
55,1,9119
56,3,9119
57,2,9120
58,4,9120
59,2,9121
60,4,9121
61,1,9122
62,3,9122
63,2,9123
64,4,9123
65,2,9124
66,4,9124
67,1,9125
68,3,9125
69,2,9126
70,4,9126
71,1,9127
72,3,9127
73,1,9128
74,3,9128
75,1,9129
76,3,9129
77,1,9130
78,3,9130
79,2,9131
80,4,9131
81,2,9132
82,4,9132
83,2,9133
84,4,9133
85,1,9134
86,3,9134
87,2,9135
88,4,9135
89,2,9136
90,4,9136
91,2,9137
92,4,9137
93,1,9138
94,3,9138
95,1,9139
96,3,9139
97,1,9140
98,3,9140
99,2,9141
100,4,9141
101,2,9142
102,4,9142
103,2,9143
104,4,9143
105,2,9144
106,4,9144
107,1,9145
108,3,9145
109,1,9146
110,3,9146
111,2,9147
112,4,9147
113,1,9148
114,3,9148
115,1,9149
116,3,9149
117,2,9150
118,4,9150
119,2,9151
120,4,9151
123,2,9153
124,4,9153
125,2,9154
126,4,9154
127,2,9155
128,4,9155
129,2,9156
130,4,9156
131,2,9157
132,4,9157
133,2,9158
134,4,9158
137,2,9160
138,4,9160
139,1,9161
140,3,9161
141,2,9162
142,4,9162
143,1,9163
144,3,9163
145,2,9164
146,4,9164
147,1,9165
148,3,9165
149,2,9166
150,4,9166
151,2,9167
152,4,9167
153,2,9168
154,4,9168
155,1,9169
156,3,9169
157,2,9170
158,4,9170
159,2,9171
160,4,9171
161,1,9172
162,3,9172
163,1,9173
164,3,9173
165,2,9174
166,4,9174
167,1,9175
168,3,9175
169,2,9176
170,4,9176
171,1,9177
172,3,9177
173,2,9178
174,4,9178
175,2,9179
176,4,9179
177,2,9180
178,4,9180
179,2,9181
180,4,9181
181,1,9182
182,3,9182
183,2,9183
184,4,9183
185,1,9184
186,3,9184
187,1,9185
188,3,9185
189,2,9186
190,4,9186
191,1,9187
192,3,9187
193,2,9188
194,4,9188
195,2,9189
196,4,9189
197,1,9190
198,3,9190
199,2,9191
200,4,9191
201,2,9192
202,4,9192
203,2,9193
204,4,9193
205,1,9194
206,3,9194
207,2,9195
208,4,9195
209,2,9196
210,4,9196
211,2,9197
212,4,9197
213,1,9198
214,3,9198
217,2,9200
218,4,9200
219,2,9201
220,4,9201
221,2,9202
222,4,9202
223,2,9203
224,4,9203
225,2,9204
226,4,9204
227,1,9205
228,3,9205
229,1,9206
230,3,9206
475,1,9329
476,2,9329
575,1,9378
576,2,9378
577,3,9378
578,4,9378
1003,1,9591
1004,2,9591
1005,3,9591
1006,4,9591
1007,5,9591
1008,6,9591
1009,1,9593
1010,2,9593
1011,3,9593
1012,4,9593
1013,5,9593
1014,6,9593
1015,1,9594
1016,2,9594
1017,3,9594
1018,4,9594
1019,5,9594
1020,6,9594
1021,1,9595
1022,2,9595
1023,3,9595
1024,4,9595
1025,5,9595
1026,6,9595
1027,1,9596
1028,2,9596
1029,3,9596
1030,4,9596
1031,5,9596
1032,6,9596
1033,1,9597
1034,2,9597
1035,3,9597
1036,4,9597
1037,5,9597
1038,6,9597
1039,1,9598
1040,2,9598
1041,3,9598
1042,4,9598
1043,5,9598
1044,6,9598
1045,1,9599
1046,2,9599
1047,3,9599
1048,4,9599
1049,5,9599
1050,6,9599
1051,1,9600
1052,2,9600
1053,3,9600
1054,4,9600
1055,5,9600
1056,6,9600
