ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,OrderIndex,Flags,AreaID
63,Deadmines,"It is said the Deadmines' gold deposits once accounted for a third of Stormwind's treasure reserves. Amid the chaos of the First War, the mines were abandoned and later thought to be haunted, leaving them relatively untouched until the Defias Brotherhood--a group of former laborers turned brigands--claimed the labyrinth as a base of operations for its subversive activities against Stormwind.",36,522336,522352,136332,526404,0,0,1581
64,Shadowfang Keep,"Looming over Pyrewood Village from the southern bluffs of Silverpine Forest, Shadowfang Keep casts a shadow as dark as its legacy. Sinister forces occupy these ruins, formerly the dwelling of the mad archmage Arugal's worgen. The restless shade of Baron Silverlaine lingers, while Lord Godfrey and his cabal of erstwhile Gilnean noblemen plot against their enemies both living and undead.",33,522342,522358,136357,526410,0,0,0
65,Throne of the Tides,"Deep within the Abyssal Maw's fathomless expanses lies the Throne of the Tides. From here, the great elemental lord Neptulon the Tidehunter has surveyed and protected his aquatic domain for ages. He now faces his greatest challenge as a force of serpentine naga and malefic faceless ones threaten to depose him, leaving his realm and its secrets ripe for the plundering.",643,522346,522362,460875,526413,0,1,5382
66,Blackrock Caverns,"Rumors suggest that Deathwing himself carved out the subterranean labyrinth that allows the Twilight's Hammer to secretly transport elementals from the majestic Mount Hyjal to Blackrock Mountain. A vital hub of this shadow network is Blackrock Caverns, site of the cult's blistering forge and some of its most heinous experiments, including the transformation of cultists into twilight dragonkin.",645,522334,522350,460859,526402,0,1,5374
67,The Stonecore,"Within the Temple of Earth, locked in the heart of Deepholm, lies the Stonecore. It was inside these caverns that the Twilight's Hammer toiled over Deathwing, hammering elementium plates to the Dragon Aspect's body in an attempt to hold his tormented form together. With his renewal complete, Deathwing ascended into Azeroth, shattering the World Pillar and destabilizing the region of Deepholm.",725,522344,522360,460872,526412,0,1,5303
68,The Vortex Pinnacle,"The Vortex Pinnacle exists within the elemental plane of Skywall. Its elegant structures, crowned with bronze and gold, sit atop platforms bridged by pure air. Yet behind its exterior beauty, the pinnacle harbors Neferset tol'vir, as well as Al'Akir the Windlord's merciless elemental legions. As long as the barrier between Skywall and Azeroth remains open, terror will rain down on Uldum from the skies.",657,522345,522361,460873,526414,0,1,5583
69,Lost City of the Tol'vir,"The Lost City of the Tol'vir is the stronghold of the Neferset, a faction of the cat-like tol'vir who swore fealty to Deathwing in exchange for a cure to the curse of flesh, which had turned their rocky hides to soft skin. With the affliction expunged, the tol'vir have rebelled against their benefactor, although they remain irrevocably twisted and hostile due to the dark pact that they made.",755,522341,522357,460866,526409,0,1,0
70,Halls of Origination,"Constructed by the great titans, the Halls of Origination are filled with ancient relics and the fearsome guardians that protect them. Rumors abound that the complex also contains a devastating weapon capable of reordering all life on Azeroth. Deathwing has moved to obtain this terrifying device through his agent, Al'Akir the Windlord. Thus far the facility's communication systems have been fully corrupted, but the weapon inside continues to elude Deathwing's grasp.",644,522340,522356,460865,526408,0,0,0
71,Grim Batol,"Don't be fooled by Grim Batol's humble exterior; many of this mountain fortress's desecrated chambers are buried deep in the Twilight Highlands. Once the stronghold of the Wildhammer dwarves, and later seized by orcs as a prison for Alextrasza, the city is now in the clutches of the Twilight's Hammer cult.

Heroes brave enough to infiltrate the brooding depths of the stronghold must confront Deathwing's agents to thwart the mysterious evil within.",670,522338,522354,460863,526406,0,0,0
72,The Bastion of Twilight,"The Bastion of Twilight stands as a dark symbol of the Old Gods' burgeoning power on Azeroth. Various branches of the Twilight's Hammer dwell deep beneath the towering form--considered the cult's foremost command center--along with their twisted leader, Cho'gall. There, he and his servants conspire to bring the Old Gods' apocalyptic visions to fruition by bleeding Azeroth of all sanity, hope, and life.",671,522339,522355,460863,526407,2,0,0
73,Blackwing Descent,"Nefarian and his warped attempts to create a new breed of dragon were thought to be defeated after his death in Blackwing Lair. Yet tales have emerged that his father, Deathwing, has reanimated  Nefarian and set him to work in Blackwing Descent. The gruesome experiments being conducted there are feared to be on a level of wickedness far surpassing Nefarian's previous crimes against nature.",669,522335,522351,460860,526403,2,0,5729
74,Throne of the Four Winds,"Al'Akir the Windlord's personal lair, the Throne of the Four Winds, glides high among Skywall's boundless vistas. Now that the barriers of the Elemental Plane have been ruptured, Al'Akir is free to travel Azeroth's winds at his leisure. He has mustered his fiercest tempests to scour Uldum of life and seize control of the mysterious titan-forged Halls of Origination.",754,522343,522359,460874,526411,2,0,5684
75,Baradin Hold,"Following the Second War, the ruined fortress of Baradin Hold on the remote island of Tol Barad was converted into a prison for some of the most dangerous forces on Azeroth. Yet with the devastation wrought by the Cataclysm, the prison's integrity has been compromised. Now as the Horde and Alliance vie for supremacy on the island, the liberation of its forgotten horrors may be at hand.",757,522333,522349,464826,526401,1,2,0
76,Zul'Gurub,"Zul'Gurub was the capital of the Gurubashi jungle trolls, a tribe that once controlled the vast jungles of the south. It was here that Jin'do the Hexxer summoned the savage loa Hakkar the Soulflayer into Azeroth. Of late, these efforts have begun anew amid an alliance between the Gurubashi and Zandalar trolls that seeks to establish a unified troll empire.",859,522348,522364,136369,526416,0,0,0
77,Zul'Aman,"Echoes of unfulfilled vengeance linger in the one-time capital of the Amani tribe, Zul'Aman. Though the Amani trolls answered their warlord's call to arms, Zul'jin was denied his goal of restoring the empire to its former glory. Where he failed, the Zandalar tribe will succeed. Left unchecked, the united tribes will reclaim their lands and savor a merciless retribution.",568,522347,522363,136367,526415,0,0,3508
78,Firelands,"The Firelands is the molten domain forged by the titans to house Ragnaros and his wayward minions. Following Deathwing's emergence into Azeroth, Ragnaros and his servants surged onto the slopes of Mount Hyjal before being driven back by the sacred mountain's valiant defenders. Now Ragnaros is rallying his loyalists to defend the Firelands from Azeroth's champions.",720,522337,522353,529270,526405,3,0,0
184,End Time,"One of an infinite number of potential outcomes, this timeway depicts the desolate future of Azeroth should Deathwing fail to be stopped.  Nozdormu has identified a powerful anomaly that exists in this moment and bars access to the past - and hope of retrieving the Demon Soul. The powerful creature from out of time lives alone amidst the time-twisted echoes of the past.",938,571739,571754,575262,571758,0,1,0
185,Well of Eternity,"Ten-thousand years in the past, the night elven capital city of Zin-Azshari was a magnificent, sparkling metropolis.  Situated on the shores of the Well of Eternity, it was here that the aristocratic Highborne first opened a portal into the Twisting Nether and invited the Burning Legion to invade Azeroth.  Under the command of the night elven queen, Azshara, they now pour their energies into the portal, preparing it for the terrifying and glorious entrance of the demon god Sargeras.",939,571741,571756,575266,571760,0,0,0
186,Hour of Twilight,"With the Dragon Soul retrieved from the past, the Heroes of Azeroth now prepare for the final confrontation with Deathwing.  In the frozen wastes of Northrend, the towering spire of Wyrmrest Temple is under the assault of Deathwing's Twilight forces.  In order to save Azeroth, Thrall must arrive safely at the temple with the Dragon Soul in hand.",940,571740,571755,575264,571759,0,0,0
187,Dragon Soul,"Forged by Deathwing during the War of the Ancients, the Dragon Soul harnessed the combined power of the dragonflights until it was ultimately destroyed. Through the Caverns of Time, Thrall and the remaining dragonflights were able to recover the powerful artifact before its destruction.  Now they have rallied at Wyrmrest Temple in a desperate attempt to use the might of the Dragon Soul against Deathwing himself.",967,571738,571753,575261,571757,4,0,0
226,Ragefire Chasm,"Ragefire Chasm extends deep below the city of Orgrimmar. Barbaric troggs and devious Searing Blade cultists once plagued the volcanic caves, but now a new threat has emerged: dark shaman. Although Warchief Garrosh Hellscream recently called on a number of shaman to use the elements as weapons against the Alliance, the chasm's current inhabitants appear to be renegades. Reports have surfaced that these shadowy figures are amassing a blistering army that could wreak havoc if unleashed upon Orgrimmar.",389,608172,608211,136350,608250,0,0,0
227,Blackfathom Deeps,"Once dedicated to the night elves' goddess Elune, Blackfathom Deeps was thought to have been destroyed during the Sundering, lost beneath the ocean. Millennia later, members of the Twilight's Hammer cult were drawn to the temple by whispers and foul dreams. After sacrificing untold numbers of innocents, the cult was rewarded with a new task: to protect one of the Old Gods' most cherished creatures, a pet that is still in need of nurturing before he can unleash his dark powers on the world.",48,608156,608195,136325,608234,0,0,0
228,Blackrock Depths,"The smoldering Blackrock Depths are home to the Dark Iron dwarves and their emperor, Dagran Thaurissan. Like his predecessors, he serves under the iron rule of Ragnaros the Firelord, a merciless being summoned into the world centuries ago. The presence of chaotic elementals has attracted Twilight's Hammer cultists to the mountain domain. Along with Ragnaros' servants, they have pushed the dwarves toward increasingly destructive ends that could soon spell doom for all of Azeroth.",230,608157,608196,136326,608235,0,0,0
229,Lower Blackrock Spire,"This imposing fortress, carved into the fiery core of Blackrock Mountain, represented the might of the Dark Iron clan for centuries. More recently, the black dragon Nefarian and his spawn seized the keep's upper spire and ignited a brutal war against the dwarves. The draconic armies have since allied with Warchief Rend Blackhand and his false Horde. This combined force lords over the spire, conducting horrific experiments to bolster its ranks while plotting the meddlesome Dark Irons' downfall.",229,608158,608197,136327,608236,0,0,0
230,Dire Maul,"Built thousands of years ago to house the kaldorei's arcane secrets, the formerly great city of Eldre'Thalas now lies in ruin, writhing with warped, twisted forces. Competing covens once fought for control of Dire Maul's corrupted energy, but they have since settled into uneasy truces, choosing to exploit the power within their own territories rather than continue to battle over the entire complex.",429,608161,608200,136333,608239,0,0,0
231,Gnomeregan,"Built deep within the mountains of Dun Morogh, the wondrous city of Gnomeregan was a testament to the gnomes' intelligence and industry. But when the capital was invaded by troggs, the gnomish high tinker was betrayed by his advisor Sicco Thermaplugg. As a result, Gnomeregan was irradiated, and most of its inhabitants slain. The surviving gnomes fled, vowing to return someday and retake their home.",90,608163,608202,136336,608241,0,0,0
232,Maraudon,"According to legend, Zaetar, son of Cenarius, and the earth elemental princess Theradras begot the barbaric centaur race. Shortly after the centaur's creation, the ruthless creatures murdered their father. The grief-stricken Theradras is said to have trapped her lover's spirit within Maraudon, corrupting the region. Now, vicious centaur ghosts and twisted elemental minions roam every corner of the sprawling caves.",349,608170,608209,136345,608248,0,0,0
233,Razorfen Downs,"Legends state that where the demigod Agamaggan fell, his blood gave rise to great masses of thorny vines. Recently, scouts have reported seeing undead milling about the region, engendering fears that the dreaded Scourge may be moving to conquer Kalimdor.",129,608173,608212,136352,608251,0,0,0
234,Razorfen Kraul,"Legends state that where the demigod Agamaggan fell, his blood gave rise to great masses of thorny vines. Many quilboar have taken up residence in the largest cluster of giant thorns, the Razorfen, which they revere as Agamaggan's resting place.",47,608174,608213,136353,608252,0,0,0
235,Scarlet Monastery - OLD,PH,189,608175,608214,136354,608253,0,0,0
236,Stratholme,"Stratholme was once the jewel of northern Lordaeron, but today it is remembered for its harrowing fall to ruin. It was here that Prince Arthas turned his back on the noble paladin Uther Lightbringer, slaughtering countless residents believed to be infected with the horrific plague of undeath. Ever since, cursed Stratholme has been marred by death, betrayal, and hopelessness.",329,608177,608216,136359,608255,0,0,0
237,The Temple of Atal'hakkar,"Thousands of years ago, the Gurubashi empire was plunged into a civil war by a powerful sect of priests, the Atal'ai, who sought to summon to Azeroth an avatar of their god of blood, Hakkar the Soulflayer. The Gurubashi people exiled the Atal'ai to the Swamp of Sorrows, where the priests built the Temple of Atal'Hakkar. Ysera, Aspect of the green dragonflight, sank the temple beneath the swamp and assigned wardens to ensure that the summoning rituals never be performed again.",109,608178,608217,136360,608256,0,0,0
238,The Stockade,"Stormwind Stockade is a closely guarded prison built beneath the canals of Stormwind City. Warden Thelwater keeps watch over the stockade and the highly dangerous criminals who call it home. Recently, the inmates revolted, overthrowing their guards and plunging the prison into a state of pandemonium.",34,608184,608223,136358,608262,0,0,0
239,Uldaman,"Uldaman is an ancient titan vault buried deep within the earth. It is said the titans sealed away a failed experiment there and then moved on to a new project, related to the genesis of the dwarves. Tales of a fabled treasure containing great knowledge have enticed would-be treasure hunters to dig deeper into the secrets of Uldaman, a task made perilous by the presence of stone defenders, savage troggs, Dark Iron invaders, and other dangers lurking in the lost city.",70,608186,608225,136363,608264,0,0,0
240,Wailing Caverns,"Years ago, the famed druid Naralex and his followers descended into the shadowy Wailing Caverns, named for the mournful cry one hears when steam bursts from the cave system's fissures. Naralex planned to use the underground springs to restore lushness to the arid Barrens. But upon entering the Emerald Dream, he saw his vision of regrowth turn into a waking nightmare, one that has plagued the caverns ever since.",43,608190,608229,136364,608313,0,0,0
241,Zul'Farrak,"Zul'Farrak was once the shining jewel of Tanaris, ferociously protected by the cunning Sandfury tribe. Despite the trolls' tenacity, this isolated group was forced to surrender much of its territory throughout history. Now, it appears that Zul'Farrak's inhabitants are creating a horrific army of undead trolls to conquer the surrounding region. Other disturbing rumors tell of an ancient creature sleeping within the city--one that, if awakened, will rain death and destruction across Tanaris.",209,608191,608230,136368,608267,0,0,0
246,Scholomance,"Individuals seeking to master the powers of undeath know well of Scholomance, the infamous school of necromancy located in the dark and foreboding crypts beneath Caer Darrow. In recent years, several of the instructors have changed, but the institution remains under the control of Darkmaster Gandling, a particularly sadistic and insidious practitioner of necromantic magic.",1007,608176,608215,136355,608254,0,1,0
247,Auchenai Crypts,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.",558,608154,608193,136323,608232,0,0,0
248,Hellfire Ramparts,"At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars.",543,608168,608207,136338,608246,0,0,0
249,Magisters' Terrace,"After his defeat in Tempest Keep, Kael'thas Sunstrider publicly revealed his alliance with the ruthless Burning Legion. Intent upon summoning the demon lord Kil'jaeden, Kael'thas has returned to the Isle of Quel'Danas to make the final preparations for his master's arrival.",585,608169,608208,136344,608247,0,1,0
250,Mana-Tombs,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.",557,608154,608193,136323,608232,0,1,0
251,Old Hillsbrad Foothills,"Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld.",560,608159,608198,136330,608237,0,0,0
252,Sethekk Halls,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.",556,608154,608193,136323,608232,0,0,0
253,Shadow Labyrinth,"The original exiles on Draenor found death to be an unsettling and unfortunate consequence of life, and so the draenei hid their dead away in the subterranean grave-city of Auchindoun, a labyrinthine marvel located beneath the forests of Terokkar.",555,608154,608193,136323,608232,0,0,0
254,The Arcatraz,"The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye.",552,608179,608218,136362,608257,0,0,0
255,The Black Morass,"Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld.",269,608159,608198,136330,608237,0,0,0
256,The Blood Furnace,"At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars.",542,608168,608207,136338,608246,0,1,0
257,The Botanica,"The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye.",553,608179,608218,136362,608257,0,1,0
258,The Mechanar,"The mighty Tempest Keep was created by the enigmatic naaru: sentient beings of pure energy and the sworn enemies of the Burning Legion. In addition to serving as a base of operations for the naaru, the structure itself possesses the technology to teleport through alternate dimensions, traveling from one location to another in the blink of an eye.",554,608179,608218,136362,608257,0,0,0
259,The Shattered Halls,"At the heart of Outland's barren Hellfire Peninsula stands Hellfire Citadel, a nearly impenetrable bastion that served as the Horde's base of operations throughout the First and Second Wars.",540,608168,608207,136338,608246,0,1,0
260,The Slave Pens,"Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military.",547,608160,608199,136331,608238,0,0,0
261,The Steamvault,"Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military.",545,608160,608199,136331,608238,0,0,0
