Name_lang,ID,ClassMask,TrackingQuestID,Flags,TransmogSetGroupID,ItemNameDescriptionID,ParentTransmogSetID,Field_8_1_0_28294_008,ExpansionID,PatchIntroduced,UiOrder,ConditionID
,2,128,0,1,1,0,0,1,0,0,590,0
,3,0,0,1,0,0,0,1,0,0,1591,0
,4,4095,42729,1,0,0,0,1,0,60002,1000,0
,5,68,0,3,0,0,0,1,0,0,360,0
,6,35,0,3,0,0,0,1,0,0,390,0
Wild Combatant's Chain Armor,13,4,42975,20,12,13302,80,1,5,60100,6700,0
Wild Combatant's Chain Armor,14,4,42992,24,12,13302,79,1,5,60100,6700,0
Wild Combatant's Ringmail Armor,15,64,42993,20,12,13302,81,1,5,60100,6700,0
Wild Combatant's Ringmail Armor,16,64,42994,24,12,13302,82,1,5,60100,6700,0
Wild Combatant's Dreadplate Armor,17,32,43004,20,12,13302,90,1,5,60100,6700,0
Wild Combatant's Dreadplate Armor,18,32,43005,24,12,13302,89,1,5,60100,6700,0
Wild Combatant's Scaled Armor,19,2,43006,20,12,13302,94,1,5,60100,6700,0
Wild Combatant's Scaled Armor,20,2,43008,24,12,13302,93,1,5,60100,6700,0
Wild Combatant's Plate Armor,21,1,43010,24,12,13302,91,1,5,60100,6700,0
Wild Combatant's Plate Armor,22,1,43009,20,12,13302,92,1,5,60100,6700,0
Wild Combatant's Leather Armor,23,8,43011,20,12,13302,85,1,5,60100,6700,0
Wild Combatant's Leather Armor,24,8,43012,24,12,13302,86,1,5,60100,6700,0
Wild Combatant's Dragonhide Armor,25,1024,43018,24,12,13302,83,1,5,60100,6700,0
Wild Combatant's Dragonhide Armor,26,1024,43017,20,12,13302,84,1,5,60100,6700,0
Wild Combatant's Ironskin Armor,27,512,43020,24,12,13302,87,1,5,60100,6700,0
Wild Combatant's Ironskin Armor,28,512,43019,20,12,13302,88,1,5,60100,6700,0
Wild Combatant's Silk Armor,29,128,43021,20,12,13302,100,1,5,60100,6700,0
Wild Combatant's Silk Armor,30,128,43022,24,12,13302,99,1,5,60100,6700,0
Wild Combatant's Satin Armor,31,16,43023,20,12,13302,98,1,5,60100,6700,0
Wild Combatant's Satin Armor,32,16,43024,24,12,13302,97,1,5,60100,6700,0
Wild Combatant's Felweave Armor,33,256,43026,24,12,13302,95,1,5,60100,6700,0
Wild Combatant's Felweave Armor,34,256,43025,20,12,13302,96,1,5,60100,6700,0
Warmongering Combatant's Chain Armor,35,4,43028,20,13,13302,102,1,5,60200,7000,0
Warmongering Combatant's Chain Armor,36,4,43029,24,13,13302,101,1,5,60200,7000,0
Warmongering Combatant's Ringmail Armor,37,64,43030,20,13,13302,104,1,5,60200,7000,0
Warmongering Combatant's Ringmail Armor,38,64,43031,24,13,13302,103,1,5,60200,7000,0
Warmongering Combatant's Dragonhide Armor,39,1024,43032,20,13,13302,106,1,5,60200,7000,0
Warmongering Combatant's Dragonhide Armor,40,1024,43033,24,13,13302,105,1,5,60200,7000,0
Warmongering Combatant's Leather Armor,41,8,43034,20,13,13302,114,1,5,60200,7000,0
Warmongering Combatant's Leather Armor,42,8,43035,24,13,13302,113,1,5,60200,7000,0
Warmongering Combatant's Ironskin Armor,43,512,43037,24,13,13302,111,1,5,60200,7000,0
Warmongering Combatant's Ironskin Armor,44,512,43036,20,13,13302,112,1,5,60200,7000,0
Warmongering Combatant's Dreadplate Armor,45,32,43038,20,13,13302,108,1,5,60200,7000,0
Warmongering Combatant's Dreadplate Armor,46,32,43039,24,13,13302,107,1,5,60200,7000,0
Warmongering Combatant's Scaled Armor,47,2,43042,24,13,13302,119,1,5,60200,7000,0
Warmongering Combatant's Scaled Armor,48,2,43041,20,13,13302,120,1,5,60200,7000,0
Warmongering Combatant's Plate Armor,49,1,43044,24,13,13302,115,1,5,60200,7000,0
Warmongering Combatant's Plate Armor,50,1,43043,20,13,13302,116,1,5,60200,7000,0
Warmongering Combatant's Satin Armor,51,16,43046,24,13,13302,117,1,5,60200,7000,0
Warmongering Combatant's Satin Armor,52,16,43045,20,13,13302,118,1,5,60200,7000,0
Warmongering Combatant's Silk Armor,53,128,43047,20,13,13302,122,1,5,60200,7000,0
Warmongering Combatant's Silk Armor,54,128,43048,24,13,13302,121,1,5,60200,7000,0
Warmongering Combatant's Felweave Armor,55,256,43050,24,13,13302,109,1,5,60200,7000,0
Warmongering Combatant's Felweave Armor,56,256,43049,20,13,13302,110,1,5,60200,7000,0
Primal Combatant's Chain Armor,57,4,43074,24,11,13302,123,1,5,60001,6200,0
Primal Combatant's Chain Armor,58,4,43073,20,11,13302,124,1,5,60001,6200,0
Primal Combatant's Ringmail Armor,59,64,43076,24,11,13302,137,1,5,60001,6200,0
Primal Combatant's Ringmail Armor,60,64,43075,20,11,13302,138,1,5,60001,6200,0
Primal Combatant's Dragonhide Armor,61,1024,43078,24,11,13302,125,1,5,60001,6200,0
Primal Combatant's Dragonhide Armor,62,1024,43077,20,11,13302,126,1,5,60001,6200,0
Primal Combatant's Leather Armor,63,8,43080,24,11,13302,133,1,5,60001,6200,0
Primal Combatant's Leather Armor,64,8,43081,20,11,13302,134,1,5,60001,6200,0
Primal Combatant's Ironskin Armor,65,512,43083,24,11,13302,131,1,5,60001,6200,0
Primal Combatant's Ironskin Armor,66,512,43082,20,11,13302,132,1,5,60001,6200,0
Primal Combatant's Dreadplate Armor,67,32,43085,24,11,13302,127,1,5,60001,6200,0
Primal Combatant's Dreadplate Armor,68,32,43084,20,11,13302,128,1,5,60001,6200,0
Primal Combatant's Scaled Armor,69,2,43087,24,11,13302,141,1,5,60001,6200,0
Primal Combatant's Scaled Armor,70,2,43086,20,11,13302,142,1,5,60001,6200,0
Primal Combatant's Plate Armor,71,1,43089,24,11,13302,135,1,5,60001,6200,0
Primal Combatant's Plate Armor,72,1,43088,20,11,13302,136,1,5,60001,6200,0
Primal Combatant's Felweave Armor,73,256,43093,24,11,13302,129,1,5,60001,6200,0
Primal Combatant's Felweave Armor,74,256,43092,20,11,13302,130,1,5,60001,6200,0
Primal Combatant's Satin Armor,75,16,43095,24,11,13302,139,1,5,60001,6200,0
Primal Combatant's Satin Armor,76,16,43094,20,11,13302,140,1,5,60001,6200,0
Primal Combatant's Silk Armor,77,128,43097,24,11,13302,143,1,5,60001,6200,0
Primal Combatant's Silk Armor,78,128,43096,20,11,13302,144,1,5,60001,6200,0
Wild Gladiator's Chain Armor,79,4,43103,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Chain Armor,80,4,43102,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Ringmail Armor,81,64,43104,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Ringmail Armor,82,64,43105,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Dragonhide Armor,83,1024,43108,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Dragonhide Armor,84,1024,43107,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Leather Armor,85,8,43109,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Leather Armor,86,8,43110,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Ironskin Armor,87,512,43113,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Ironskin Armor,88,512,43112,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Dreadplate Armor,89,32,43005,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Dreadplate Armor,90,32,43114,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Plate Armor,91,1,43117,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Plate Armor,92,1,43116,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Scaled Armor,93,2,43119,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Scaled Paladin,94,2,43118,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Felweave Armor,95,256,43123,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Felweave Armor,96,256,43122,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Satin Armor,97,16,43125,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Satin Armor,98,16,43124,20,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Silk Armor,99,128,43127,24,12,13301,0,1,5,60100,7000,0
Wild Gladiator's Silk Armor,100,128,43126,20,12,13301,0,1,5,60100,7000,0
Warmongering Gladiator's Chain Armor,101,4,43137,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Chain Armor,102,4,43136,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Ringmail Armor,103,64,43139,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Ringmail Armor,104,64,43138,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Dragonhide Armor,105,1024,43155,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Dragonhide Armor,106,1024,43154,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Dreadplate Armor,107,32,43157,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Dreadplate Armor,108,32,43156,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Felweave Armor,109,256,43161,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Felweave Armor,110,256,43160,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Ironskin Armor,111,512,43164,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Ironskin Armor,112,512,43163,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Leather Armor,113,8,43166,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Leather Armor,114,8,43165,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Plate Armor,115,1,43168,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Plate Armor,116,1,43167,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Satin Armor,117,16,43170,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Satin Armor,118,16,43169,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Scaled Armor,119,2,43172,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Scaled Armor,120,2,43171,20,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Silk Armor,121,128,43174,24,13,13301,0,1,5,60200,7100,0
Warmongering Gladiator's Silk Armor,122,128,43173,20,13,13301,0,1,5,60200,7100,0
Primal Gladiator's Chain Armor,123,4,43198,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Chain Armor,124,4,43197,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Dragonhide Armor,125,1024,43200,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Dragonhide Armor,126,1024,43199,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Dreadplate Armor,127,32,43202,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Dreadplate Armor,128,32,43201,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Felweave Armor,129,256,43204,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Felweave Armor,130,256,43203,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Ironskin Armor,131,512,43210,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Ironskin Armor,132,512,43209,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Leather Armor,133,8,43212,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Leather Armor,134,8,43211,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Plate Armor,135,1,43089,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Plate Armor,136,1,43213,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Ringmail Armor,137,64,43217,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Ringmail Armor,138,64,43216,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Satin Armor,139,16,43219,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Satin Armor,140,16,43218,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Scaled Armor,141,2,43221,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Scaled Armor,142,2,43220,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Silk Armor,143,128,43223,24,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Silk Armor,144,128,43222,20,11,13301,0,1,5,60001,6600,0
Primal Gladiator's Arsenal,145,0,43225,25,0,0,0,1,5,60001,6600,0
Primal Gladiator's Arsenal,146,0,43224,21,0,0,0,1,5,60001,6600,0
,147,0,43227,25,0,0,0,1,5,60100,7000,0
,148,0,43226,21,0,0,0,1,5,60100,7000,0
,149,0,43230,25,0,0,0,1,0,60200,7100,0
,150,0,43229,21,0,0,0,1,0,60200,7100,0
,151,0,43232,25,0,0,0,1,5,60200,7000,0
,152,0,43231,21,0,0,0,1,5,60200,7000,0
,153,0,43234,25,0,0,0,1,5,60100,6700,0
,154,0,43233,21,0,0,0,1,5,60100,6700,0
Primal Combatant's Arsenal,155,0,43236,25,0,0,0,1,5,60001,6200,0
Primal Combatant's Arsenal,156,0,43235,21,0,0,0,1,5,60001,6200,0
Felforged Armor,157,35,43278,2,48,0,0,1,6,70001,100,0
Fel-Chain Armor,158,68,43279,2,48,0,0,1,6,70001,100,0
Felshroud Armor,159,3592,43280,2,48,0,0,1,6,70001,100,0
Fel-Infused Armor,160,400,43281,2,48,0,0,1,6,70001,100,0
,162,4095,0,3,0,0,0,1,0,0,10,0
,163,4,0,3,0,0,0,1,0,0,750,0
,164,16,0,3,0,0,0,1,0,0,750,0
,167,0,42778,3,0,0,0,1,0,0,200,0
,168,0,45129,3,0,0,0,1,0,0,6400,0
,169,0,45130,3,0,0,0,1,0,0,2510,0
,170,0,45131,3,0,0,0,1,0,0,490,0
Regalia of the Chosen Dead,171,400,45208,2,47,13193,0,1,6,70100,8551,0
Regalia of the Chosen Dead,172,400,45223,2,47,2015,171,1,6,70100,8552,0
Regalia of the Chosen Dead,173,400,45224,2,47,13145,171,1,6,70100,8553,0
Regalia of the Chosen Dead,174,400,45225,2,47,1641,171,1,6,70100,8550,0
Garb of the Chosen Dead,175,3592,45226,2,47,13193,0,1,6,70100,8551,0
Garb of the Chosen Dead,176,3592,45227,2,47,2015,175,1,6,70100,8552,0
Garb of the Chosen Dead,177,3592,45228,2,47,13145,175,1,6,70100,8553,0
