ID,DisplayName_lang,HordeDisplayName_lang
43,Espadas,
44,Hachas,
45,Arcos,
46,Armas de fuego,
54,Mazas,
55,Espadas de dos manos,
95,Defensa,
98,Idioma: común,
101,Racial: enano,
109,Idioma: orco,
111,Idioma: enánico,
113,Idioma: darnassiano,
115,Idioma: taurahe,
118,Doble empuñadura,
124,Racial: tauren,
125,Racial: orco,
126,Racial: elfo de la noche,
136,Bastones,
137,Idioma: thalassiano,
138,Idioma: dracónico,
139,Idioma: demoníaco,
140,Idioma: titánico,
141,Idioma: lengua antigua,
142,Supervivencia,
148,Montar caballos,
149,Montar lobos,
150,Montar tigres,
152,Montar carneros,
155,Nadar,
160,Mazas de dos manos,
162,Sin armas,
164,Herrería,
165,Peletería,
171,Alquimia,
172,Hachas de dos manos,
173,Dagas,
182,Herboristería,
183,COMÚN (DND),
185,Cocina,
186,Minería,
188,Mascota: diablillo,
189,Mascota: manáfago,
197,Sastrería,
202,Ingeniería,
203,Mascota: araña,
204,Mascota: abisario,
205,Mascota: súcubo,
206,Mascota: infernal,
207,Mascota: guardia apocalíptico,
208,Mascota: lobo,
209,Mascota: felino,
210,Mascota: oso,
211,Mascota: jabalí,
212,Mascota: crocolisco,
213,Mascota: carroñero,
214,Mascota: cangrejo,
215,Mascota: gorila,
217,Mascota: raptor,
218,Mascota: zancudo,
220,Racial: no-muerto,
226,Ballestas,
228,Varitas,
229,Armas de asta,
236,Mascota: escórpido,
251,Mascota: tortuga,
270,Mascota: cazador genérico,
293,Malla de placas,
313,Idioma: gnomótico,
315,Idioma: trol,
333,Encantamiento,
356,Pesca,
393,Desuello,
413,Malla,
414,Cuero,
415,Tela,
433,Escudo,
473,Armas de puño,
533,Montar raptor,
553,Montar mecazancudos,
554,Equitación para no-muertos,
653,Mascota: murciélago,
654,Mascota: hiena,
655,Mascota: ave rapaz,
656,Mascota: serpiente alada,
673,Idioma: renegado,
713,Montar kodos,
733,Racial: trol,
753,Racial: gnomo,
754,Racial: humano,
755,Joyería,
756,Racial: elfo de sangre,
758,Mascota - Evento - Control remoto,
759,Idioma: draenei,
760,Racial: draenei,
761,Mascota: guardia vil,
762,Equitación,
763,Mascota: dracohalcón,
764,Mascota: raya abisal,
765,Mascota: esporiélago,
766,Mascota: acechador de distorsión,
767,Mascota: devastador,
768,Mascota: serpiente,
769,Interno,
773,Inscripción,
775,Mascota: palomilla,
777,Monturas,
778,Compañeros,
780,Mascota: quimera exótica,
781,Mascota: demosaurio exótico,
782,Mascota: necrófago,
783,Mascota: Agiri exótico,
784,Mascota: gusano exótico,
785,Mascota: avispa,
786,Mascota - Uñagrieta exótico,
787,Mascota: can del Núcleo exótico,
788,Mascota: bestia espíritu exótica,
789,Racial: huargen,
790,Racial: goblin,
791,Idioma: gilneano,
792,Idioma: goblin,
794,Arqueología,
795,Cazador,
796,Caballero de la Muerte,
798,Druida,
800,Paladín,
804,Sacerdote,
805,Mascota: elemental de agua,
808,Mascota: zorro,
810,Todo: glifos,
811,Mascota: Sabueso,
815,Mascota: mono,
817,Mascota: Bestia de esquisto exótica,
818,Alfazaque,
821,Todo: ventajas,
824,Mascota: hidra,
829,Monje,
840,Guerrero,
849,Brujo,
899,Racial: pandaren,
904,Mago,
905,Idioma: pandaren neutral,
921,Pícaro,
924,Chamán,
927,Diablillo vil,
928,Señor del vacío,
929,Shivarra,
930,Observador,
931,Guardia de cólera,
934,Todo: especializaciones,
960,Forja de runas,
962,Mascota: elemental de fuego primigenio,
963,Mascota: elemental de tierra superior,
975,El arte de la parrilla,
976,El arte del wok,
977,El arte del guiso,
978,El arte de la vaporera,
979,El arte del horno,
980,El arte de la cerveza,
981,Aprendiz de cocina,
982,Libro de cocina de oficial,
983,Mascota: roedor,
984,Mascota: grulla,
985,Mascota: zancudo acuático,
986,Mascota: Sabueso pétreo exótico,
987,Mascota: Bruscuerno,
988,Mascota: basilisco,
999,SIN JUGADORES,
1305,Mascota: cuernoatroz,
1748,Mascota: elemental de tormenta primigenio,
1777,Mascota: elemental de agua versión de talento menor,
1819,Mascota: bestia del río,
1830,Unused,
1848,Cazador de demonios,
1945,Leñar,
1981,Mascota - Guarda terrorífico,
1982,Mascota - Abisal,
1993,Mascota - Venado,
2000,Puesto de venta,
2152,Gujas de guerra,
2189,Mascota - Mecánica,
2216,Mascota - Abominación,
2279,Mascota: buey,
2280,Mascota: pielescama,
2361,Mascota - Crinpluma,
2419,Racial: natonocturno,
2420,Racial: tauren de Altamontaña,
2421,Racial: draenei templeluz,
2423,Racial: elfo del Vacío,
2437,Herrería kultirana,Herrería zandalari
2454,Herrería de Legion,
2464,Idioma: shalassiano,
2465,Idioma: thalassiano,
2472,Herrería de Draenor,
2473,Herrería de Pandaria,
2474,Herrería de Cataclysm,
2475,Herrería de Rasganorte,
2476,Herrería de Terrallende,
2477,Herrería,
2478,Alquimia kultirana,Alquimia zandalari
2479,Alquimia de Legion,
2480,Alquimia de Draenor,
2481,Alquimia de Pandaria,
2482,Alquimia de Cataclysm,
