ID,Description_lang
2,Без дополнительного описания
20,10-й сезон
226,10-й сезон (элитный)
525,9-й сезон (элитный)
653,9-й сезон
1013,11-й сезон
1208,11-й сезон (элитный)
1591,19-й сезон
1593,От этого цвета глаза болят
1641,Поиск рейда
2015,Героический
2023,10-й сезон (элитный)
2255,12-й сезон
2667,12-й сезон (элитный)
3564,
3759,Материал для ремесла
3765,Сумка на 100 ячеек
3845,Героический (элитный)
3859,Элитный
3933,13-й сезон
3934,13-й сезон (элитный)
4918,1-й уровень
4949,2-й уровень
4953,3-й уровень
4957,4-й уровень
4961,5-й уровень
4965,7-й уровень
4969,8-й уровень
4970,6-й уровень
5213,Предмет для сценария
5616,Создано в Кузне Грома
6360,Создано в Кузне Грома (героич.)
6798,9-й уровень
6842,Уровень ??
6843,8-й сезон
6894,8-й сезон (элитный)
7052,7-й сезон
7225,7-й сезон (элитный)
7261,6-й сезон
7434,6-й сезон (элитный)
7463,5-й сезон
7636,4-й сезон
7775,3-й сезон
7906,2-й сезон
8027,1-й сезон
8869,Гибкий
9059,14-й сезон
9459,14-й сезон (элитный)
10066,Создано в Кузне Грома (героич.)
10126,15-й сезон
10520,15-й сезон (элитный)
11080,Вневременной предмет
11179,Предмет закален в бою (героич.)
11428,Предмет закален в бою
12743,Трофей
12790,Безупречный
12934,Алхимический ингредиент
13021,Материал для ремесла
13111,с печатью могущества
13145,Эпохальный
13149,Инженерный материал
13150,с символом огненной вспышки
13151,с символом бесподобия
13152,со знаком быстрого клинка
13153,со знаком дикости
13154,со знаком фанатика
13155,с символом коварства
13156,с символом лихорадочного света
13157,со знаком рассвета
13158,со знаком проворства
13159,со знаком ревнителя
13160,с меткой ткача ветра
13161,с меткой безмятежности
13162,со знаком беспощадности
13163,с меткой прорицателя
13164,с меткой дворянина
13165,с меткой стратега
13166,с меткой авгура
13167,со знаком доблести
13168,с меткой вестника
13169,с меткой рассекателя туч
13170,с символом нетерпеливости
13171,с символом умудренности
13172,с символом адаптации
13173,со знаком неумолимости
13174,с символом праведности
13175,с символом несокрушимости
13176,с символом крушителя
13178,Турнир Warlords of Draenor
13181,Используется в кулинарии
13184,Используется для ремесел
13185,Уровень 2 из 6
13186,Уровень 3 из 6
13187,Уровень 1 из 6
13188,Предмет закален в бою (эпох.)
13190,Снаряжение соратника
13191,Ресурс для гарнизона
