ID,Name_lang,Name_female_lang
1,Человек,Человек
2,Орк,Орчиха
3,Дворф,Дворфийка
4,Ночной эльф,Ночная эльфийка
5,Нежить,
6,Таурен,Тауренка
7,Гном,Гномка
8,Тролль,
9,Гоблин,
10,Эльф крови,Эльфийка крови
11,Дреней,Дренейка
12,Орк Скверны,Орчиха Скверны
13,Нага,
14,Сломленный,Сломленная
15,Скелет,
16,Врайкул,
17,Клыкарр,
18,Лесной тролль,
19,Таунка,
20,Нордскольский скелет,
21,Ледяной тролль,
22,Ворген,
23,Житель Гилнеаса,Жительница Гилнеаса
24,Пандарен,Пандаренка
25,Пандарен,Пандаренка
26,Пандарен,Пандаренка
27,Ночнорожденный,Ночнорожденная
28,Таурен Крутогорья,Тауренка Крутогорья
29,Эльф Бездны,Эльфийка Бездны
30,Озаренный дреней,Озаренная дренейка
31,Зандалар,Зандаларка
32,Култирасец,Култираска
33,Человек,Человек
34,Дворф из клана Черного Железа,Дворфийка из клана Черного Железа
35,Вульпера,Вульпера
36,Маг'хар,Маг'харка
37,Механогном,Механогномка
