ID,Name_lang,FemaleName_lang
62,Тайная магия,Тайная магия
63,Огонь,Огонь
64,Лед,Лед
65,Свет,Свет
66,Защита,Защита
70,Воздаяние,Воздаяние
71,Оружие,Оружие
72,Неистовство,Неистовство
73,Защита,Защита
74,Свирепость,Свирепость
79,Хитрость,Хитрость
81,Упорство,Упорство
102,Баланс,Баланс
103,Сила зверя,Сила зверя
104,Страж,Страж
105,Исцеление,Исцеление
250,Кровь,Кровь
251,Лед,Лед
252,Нечестивость,Нечестивость
253,Повелитель зверей,Повелительница зверей
254,Стрельба,Стрельба
255,Выживание,Выживание
256,Послушание,Послушание
257,Свет,Свет
258,Тьма,Тьма
259,Ликвидация,Ликвидация
260,Головорез,Головорез
261,Скрытность,Скрытность
262,Стихии,Стихии
263,Совершенствование,Совершенствование
264,Исцеление,Исцеление
265,Колдовство,Колдовство
266,Демонология,Демонология
267,Разрушение,Разрушение
268,Хмелевар,Хмелевар
269,Танцующий с ветром,Танцующая с ветром
270,Ткач туманов,Ткач туманов
535,Свирепость,Свирепость
536,Хитрость,Хитрость
537,Упорство,Упорство
577,Истребление,Истребление
581,Месть,Месть
1444,Начальный,Начальный
1446,Начальный,Начальный
1447,Начальный,Начальный
1448,Начальный,Начальный
1449,Начальный,Начальный
1450,Начальный,Начальный
1451,Начальный,Начальный
1452,Начальный,Начальный
1453,Начальный,Начальный
1454,Начальный,Начальный
1455,Начальный,Начальный
1456,Начальный,Начальный
