ID,MapName_lang
0,Восточные королевства
1,Калимдор
13,Art Team Map
25,Тест Скотта
30,Альтеракская долина
33,Крепость Темного Клыка
34,Тюрьма Штормграда
35,<UNUSED> Тюрьма Штормграда
36,Мертвые копи
37,Кратер Азшары
42,Тест Коллина
43,Пещеры Стенаний
44,<UNUSED> Монастырь
47,Лабиринты Иглошкурых
48,Непроглядная Пучина
70,Ульдаман
90,Гномреган
109,Затонувший храм
129,Курганы Иглошкурых
169,Изумрудный Сон
189,Прежний монастырь Алого ордена
209,Зул'Фаррак
229,Нижняя часть пика Черной горы
230,Глубины Черной горы
249,Логово Ониксии
269,Открытие Темного портала
289,Некроситет
309,Старый Зул'Гуруб
329,Стратхольм
349,Мародон
369,Подземный поезд
389,Огненная Пропасть
409,Огненные Недра
429,Забытый город
449,Казармы Альянса
450,Казармы Орды
451,Зона разработчика
469,Логово Крыла Тьмы
489,Классическое ущелье Песни Войны
509,Руины Ан'Киража
529,Классическая низина Арати
530,Запределье
531,Храм Ан'Киража
532,Каражан
533,Наксрамас
534,Битва за гору Хиджал
540,Цитадель Адского Пламени: Разрушенные залы
542,Цитадель Адского Пламени: Кузня Крови
543,Цитадель Адского Пламени: бастионы
544,Логово Магтеридона
545,Кривой Клык: Паровое подземелье
546,Кривой Клык: Нижетопь
547,Кривой Клык: Узилище
548,Кривой Клык: Змеиное святилище
550,Крепость Бурь
552,Крепость Бурь: Аркатрац
553,Крепость Бурь: Ботаника
554,Крепость Бурь: Механар
555,Аукиндон: Темный лабиринт
556,Аукиндон: Сетеккские залы
557,Аукиндон: Гробницы маны
558,Аукиндон: Аукенайские гробницы
559,Nagrand Arena (old)
560,Побег из Дарнхольда
562,zzOldBlade's Edge Arena
564,Черный храм
565,Логово Груула
566,Око Бури
568,Зул'Аман
571,Нордскол
572,Руины Лордерона
573,ExteriorTest
574,Крепость Утгард
575,Вершина Утгард
576,Нексус
578,Окулус
580,Солнечный Колодец
582,Перевозка: из Рут'терана в Аубердин
584,Перевозка: из Менетила на Терамор
585,Терраса Магистров
586,Перевозка: из Экзодара в Аубердин
587,Перевозка: Переправа Оперенной Луны
588,Перевозка: из Менетила в Аубердин
589,Перевозка: из Оргриммара в Гром'гол
590,Перевозка: из Гром'гола в Подгород
591,Перевозка: из Подгорода в Оргриммар
592,Перевозка: Борейская тундра (тест)
593,Перевозка: из Пиратской Бухты в Кабестан
594,Перевозка: Сестры милосердия Ревущего фьорда (задание)
595,Очищение Стратхольма
596,Перевозка: Нагльфар
597,Craig Test
598,Солнечный Колодец стабилизированный (не используется)
599,Чертоги Камня
600,Крепость Драк'Тарон
601,Азжол-Неруб
602,Чертоги Молний
603,Ульдуар
604,Гундрак
605,Development Land (non-weighted textures)
606,QA and DVD
607,Берег Древних
608,Аметистовая крепость
609,Черный оплот
610,Транспорт: из Тирисфаля к Лагерю Возмездия
612,Транспорт: из Менетила к Вангарду
613,Транспорт: из Оргриммара к крепости Песни Войны
614,Транспорт: из Штормграда к крепости Отваги
615,Обсидиановое святилище
616,Око Вечности
617,Стоки Даларана
618,Арена Доблести
619,Ан'кахет: Старое Королевство
620,Транспорт: из Моа'ки в Уну'пе
621,Транспорт: из Моа'ки в Камагуа
622,Транспорт: Молот Оргрима
623,"Транспорт: ""Усмиритель небес"""
624,Хранилище Аркавона
627,Unused (DELETE ME)
628,Остров Завоеваний
631,Цитадель Ледяной Короны
632,Кузня Душ
637,Внешняя сторона Бездонной пучины
638,Гилнеас
641,Transport: Alliance Airship BG
642,Transport: HordeAirshipBG
643,Трон Приливов
644,Чертоги Созидания
645,Пещеры Черной горы
646,Подземье
647,Транспорт: из Оргриммара в Громовой Утес
648,Затерянные острова
649,Испытание крестоносца
650,Испытание чемпиона
651,ElevatorSpawnTest
654,Гилнеас
655,GilneasPhase1
656,GilneasPhase2
657,Вершина Смерча
658,Яма Сарона
659,Извержение вулкана Затерянных островов
660,Купол Подземья
661,Затерянные острова макет города
662,Транспорт: вайш'ирский корабль Альянса
668,Залы Отражений
669,Твердыня Крыла Тьмы
670,Грим Батол
671,Сумеречный бастион
672,"Транспорт: ""Усмиритель небес"" (рейды в цитадели Ледяной Короны)"
673,Транспорт: Молот Оргрима (рейды в цитадели Ледяной Короны)
674,Транспорт: корабль до Вайш'ира
712,"Транспорт: ""Усмиритель небес"" (подземелья цитадели Ледяной Короны)"
713,Транспорт: Молот Оргрима (подземелья Цитадели Ледяной Короны)
718,Transport: The Mighty Wind (Icecrown Citadel Raid)
719,"Гора Хиджал, фаза 1"
720,Огненные Просторы
721,Рельеф Огненных Просторов
723,Штормград
724,Рубиновое святилище
725,Каменные Недра
726,Два Пика
727,Сверкающие копи
728,Битва за Гилнеас (старая карта города)
730,Область Водоворота
731,Бомба Каменного Когтя
732,Тол Барад
734,Терраса Ан'Киража
736,"Сумеречное нагорье, фаза Драконьей Пасти"
738,Корабль до Вайш'ира (Оргриммар -> Вайш'ир)
739,Vashj'ir Sub - Horde
740,Vashj'ir Sub - Alliance
741,Сумеречное нагорье транспорт Орды
742,Vashj'ir Sub - Horde - Circling Abyssal Maw
743,Vashj'ir Sub - Alliance circling Abyssal Maw
746,Ульдум фаза оазиса
747,Транспорт: боевой корабль Подземья
748,Транспорт: подъемник от Ониксии к Нефариану
749,Транспорт: движущийся боевой корабль Гилнеаса
750,Транспорт: статичный боевой корабль Гилнеаса
751,Красногорье - орочья бомба
752,"Красногорье - первая фаза, мост"
753,"Красногорье - вторая фаза, мост"
754,Трон Четырех Ветров
755,Затерянный город Тол'вир
757,Крепость Барадин
759,Uldum Phased Entrance
760,Twilight Highlands Phased Entrance
761,Битва за Гилнеас
762,Twilight Highlands Zeppelin 1
763,Twilight Highlands Zeppelin 2
764,Uldum - Phase Wrecked Camp
765,Krazzworks Attack Zeppelin
766,Transport: Gilneas Moving Gunship 02
767,Transport: Gilneas Moving Gunship 03
859,Зул'Гуруб
860,Скитающийся остров
861,Огненная передовая
870,Пандария
930,В темноте
938,Конец Времен
939,Источник Вечности
940,Время Сумерек
951,"Нексус, получение посоха"
959,Монастырь Шадо-Пан
960,Храм Нефритовой Змеи
961,Хмелеварня Буйных Портеров
962,Врата Заходящего Солнца
967,Душа Дракона
968,Око Бури (рейтинговое)
971,Jade Forest Alliance Hub Phase
972,Jade Forest Battlefield Phase
974,Ярмарка Новолуния
975,Turtle Ship Phase 01
976,Turtle Ship Phase 02
977,"Водоворот, бой со Смертокрылом"
980,Арена Тол'вир
994,Дворец Могу'шан
995,The Depths [UNUSED]
996,Терраса Вечной Весны
998,Храм Котмогу
999,Падение Терамора
1000,Падение Терамора
1001,Залы Алого ордена
1004,Монастырь Алого ордена
1005,Хмельная буря
1007,Некроситет
1008,Подземелья Могу'шан
1009,Сердце Страха
1010,CTF3
1011,Осада храма Нюцзао
1014,Пик Безмятежности
1019,Руины Терамора
1024,Деревня Зеленой Скалы
1028,(UNUSED) Scenario: Mogu Ruins
1029,(UNUSED) Scenario: Mogu Crypt
1030,Гробница Забытых Королей
1031,Арена Истребления
1032,Битва питомцев - Нефритовый лес
1035,Храм Котмогу
1043,"Арена ""Морд'Бой"""
1048,Унга-Ингу
1049,(UNUSED) Scenario: Black Ox Temple
1050,Атака на Зан'весс
1051,Фестиваль Хмельнолуния
1060,Level Design Land - Dev Only
1061,База Орды на пляже - ежедневные задания
1062,База Альянса на пляже - ежедневные задания
1064,Mogu Island Daily Area
1066,Stormwind Gunship Pandaria Start Area
1074,Orgrimmar Gunship Pandaria Start
1075,Theramore's Fall Phase
1076,Jade Forest Horde Starting Area
1095,Кинжал во тьме
1098,Престол Гроз
1099,Морская битва - сценарий
1101,Defense Of The Ale House BG
1102,Крепость Покорителей
1103,Львиный лагерь
1104,Немного терпения
1105,Каньон Суровых Ветров (наследие)
1106,Джайна в Даларане - сценарий
1107,Разлом Зловещего Шрама
