ID,Description_lang,Reward_lang,Title_lang
6,Alcançar o nível 10.,,Nível 10
7,Alcançar o nível 20.,,Nível 20
8,Alcançar o nível 30.,,Nível 30
9,Alcançar o nível 40.,,Nível 40
10,Nível 50 alcançado antes da expansão Shadowlands.,,Nível 50 (Legado)
11,Nível 60 alcançado antes da expansão Shadowlands.,,Nível 60 (Legado)
12,Nível 70 alcançado antes da expansão Shadowlands.,,Nível 70 (Legado)
13,Nível 80 alcançado antes da expansão Shadowlands.,,Nível 80 (Legado)
15,Obter 15 mascotes únicas.,,Abundância de mascotes
16,Treinar a perícia de Combate Desarmado até o nível 400.,,Alguém pediu uma surra?
31,Cumprir uma missão diária todos os dias por cinco dias consecutivos.,,Missão nossa de cada dia
32,Cumprir 2000 missões.,,2000 missões cumpridas
33,Concluir as histórias da Tundra Boreana listadas abaixo.,,"Na Tundra a diversão ""abundra""!"
34,Concluir as histórias do Fiorde Uivante listadas abaixo.,,Um tour pelo Fiorde
35,Concluir as histórias do Ermo das Serpes listadas abaixo.,,Acampando no Ermo
36,Concluir as histórias de Zul'Drak listadas abaixo.,,O Império de Zul'Drak
37,Concluir as histórias da Serra Gris listadas abaixo.,,Por um triz na Serra Gris
38,Concluir as histórias dos Picos Tempestuosos listadas abaixo.,,O pico dos ventos tempestuosos
39,Concluir as histórias da Bacia Sholazar listadas abaixo.,,Bacia adentro
40,Concluir as histórias da Coroa de Gelo listadas abaixo.,,Coroa de Gelo: O destino final
41,Obter as conquistas de missões de Nortúndria listadas abaixo.,,Historiador de Nortúndria
42,Explorar todas as regiões dos Reinos do Leste.,,Explorador dos Reinos do Leste
43,Explorar todas as regiões de Kalimdor.,,Explorador de Kalimdor
44,Explorar todas as regiões de Terralém.,,Explorador de Terralém
45,Explorar todas as regiões de Nortúndria.,Recompensa: Tabardo do Explorador,Explorador de Nortúndria
46,"Explorar os Reinos do Leste, Kalimdor, Terralém, Nortúndria, as áreas reveladas pelo Cataclismo, Pandária, Draenor, Ilhas Partidas, Kul Tiraz e Zandalar.",Título: o Explorador,Explorador Universal
49,Vitórias no Vale Alterac,,Vitórias no Vale Alterac
50,Vitórias no Olho da Tormenta,,Vitórias no Olho da Tormenta
51,Vitórias na Bacia Arathi,,Vitórias na Bacia Arathi
52,Batalhas na Ravina Brado Guerreiro,,Batalhas na Ravina Brado Guerreiro
53,Batalhas no Vale Alterac,,Batalhas no Vale Alterac
54,Batalhas no Olho da Tormenta,,Batalhas no Olho da Tormenta
55,Batalhas na Bacia Arathi,,Batalhas na Bacia Arathi
60,Total de mortes,,Total de mortes
73,Atacar 3 bases em uma mesma batalha na Bacia Arathi.,,Avaria da Bacia
94,Missões abandonadas,,Missões abandonadas
95,Média de missões cumpridas por dia,,Média de missões cumpridas por dia
97,Missões diárias cumpridas,,Missões diárias cumpridas
98,Missões cumpridas,,Missões cumpridas
99,Partidas nas Ruínas de Lordaeron,,Partidas nas Ruínas de Lordaeron
100,Vitórias na Arena de Nagrand,,Vitórias na Arena de Nagrand
101,Partidas na Arena de Nagrand,,Partidas na Arena de Nagrand
102,Vitórias nas Ruínas de Lordaeron,,Vitórias nas Ruínas de Lordaeron
103,Partidas na Arena da Lâmina Afiada,,Partidas na Arena da Lâmina Afiada
104,Vitórias na Arena da Lâmina Afiada,,Vitórias na Arena da Lâmina Afiada
105,Vitórias na Ravina Brado Guerreiro,,Vitórias na Ravina Brado Guerreiro
107,Criaturas abatidas,,Criaturas abatidas
108,Bichos abatidos,,Bichos abatidos
110,Chefe de masmorras para 5 jogadores da expansão Wrath of the Lich King abatido mais vezes,,Chefe de masmorras para 5 jogadores da expansão Wrath of the Lich King derrotado mais vezes
112,Mortes por afogamento,,Mortes por afogamento
113,Mortes por fadiga,,Mortes por fadiga
114,Mortes por queda,,Mortes por queda
