ID,Name_lang,Name_female_lang
1,Humano,Humana
2,Orc,Orquisa
3,Anão,Anã
4,Elfo Noturno,Elfa Noturna
5,Morto-vivo,Morta-viva
6,Tauren,Taurena
7,Gnomo,Gnomida
8,Troll,Trolesa
9,Goblin,Goblina
10,Elfo Sangrento,Elfa Sangrenta
11,Draenei,Draenaia
12,Orc Vil,Orquisa Vil
13,Naga,Naga
14,Degradado,Degradada
15,Esqueleto,Esqueleto
16,Vraikal,Vraikal
17,Morsano,Morsana
18,Troll da Floresta,Trolesa da Floresta
19,Taunka,Taunka
20,Esqueleto de Nortúndria,Esqueleto de Nortúndria
21,Troll do Gelo,Trolesa do Gelo
22,Worgen,Worgenin
23,Guilneano,Guilneana
24,Pandaren,Pandarena
25,Pandaren,Pandarena
26,Pandaren,Pandarena
27,Filho da Noite,Filha da Noite
28,Tauren Altamontês,Taurena Altamontesa
29,Elfo Caótico,Elfa Caótica
30,Draenei Forjado a Luz,Draenaia Forjada a Luz
31,Troll Zandalari,Trolesa Zandalari
32,Kultireno,Kultirena
33,Humano,Humana
34,Anão Ferro Negro,Anã Ferro Negro
35,Vulpera,Vulpera
36,Orc Mag'har,Orc Mag'har
37,Gnomecânico,Gnomecânica
